"Target","Indice","Method","r","Paper_ID"
"Friend","RT","First-Second",0.429885478508655,"Pn16E3"
"Friend","RT","Odd-Even",0.797367117800659,"Pn16E3"
"Friend","RT","Permuted",0.682910014592164,"Pn16E3"
"Friend","ACC","First-Second",-0.0339868279543357,"Pn16E3"
"Friend","ACC","Odd-Even",0.982600846091952,"Pn16E3"
"Friend","ACC","Permuted",0.700564670371959,"Pn16E3"
"Friend","d Prime","First-Second",-0.236400061253634,"Pn16E3"
"Friend","d Prime","Odd-Even",0.979586784286203,"Pn16E3"
"Friend","d Prime","Permuted",0.53101021827833,"Pn16E3"
"Friend","Efficiency","First-Second",-0.0718834679796152,"Pn16E3"
"Friend","Efficiency","Odd-Even",0.950068763045869,"Pn16E3"
"Friend","Efficiency","Permuted",0.595942839330487,"Pn16E3"
"Friend","ezDDM v","First-Second",-0.101094325157858,"Pn16E3"
"Friend","ezDDM v","Odd-Even",0.924413765457615,"Pn16E3"
"Friend","ezDDM v","Permuted",0.603501945321893,"Pn16E3"
"Friend","ezDDM z","First-Second",0.175603511776345,"Pn16E3"
"Friend","ezDDM z","Odd-Even",0.802693148701167,"Pn16E3"
"Friend","ezDDM z","Permuted",0.434517317893657,"Pn16E3"
"Friend","rwDDM v","First-Second",0.225564180110516,"Pn16E3"
"Friend","rwDDM v","Odd-Even",0.870298181258284,"Pn16E3"
"Friend","rwDDM v","Permuted",0.753179451458878,"Pn16E3"
"Friend","rwDDM z","First-Second",-0.199630980594884,"Pn16E3"
"Friend","rwDDM z","Odd-Even",0.418162768772643,"Pn16E3"
"Friend","rwDDM z","Permuted",0.237487575473651,"Pn16E3"
