Shape,Label,ShapeLoc,Condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,Exclude,StrangerShape,P1Shape,P2Shape,corr,Training,nCorr,trialinblock,BlankFrames,Block,Pair Number,Participant 1 Age,Participant 2 Age,Phase
Stranger,P2,Top,Mismatch,0,0,0,19,o,0.716866949,0,STAR,TRIANGLE,PENTAGON,1,0,1,1,78,1,1,23,21,1
P1,P1,Top,Match,0,1,1,1,w,0.56684565,0,STAR,TRIANGLE,PENTAGON,1,0,2,2,78,1,1,23,21,1
P1,P1,Top,Match,0,2,2,1,w,0.55016666,0,STAR,TRIANGLE,PENTAGON,1,0,3,3,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,0,3,3,20,w,0.833512501,0,STAR,TRIANGLE,PENTAGON,1,0,4,4,78,1,1,23,21,1
Stranger,Stranger,Top,Match,0,4,4,17,w,0.650122167,0,STAR,TRIANGLE,PENTAGON,1,0,5,5,78,1,1,23,21,1
P2,P2,Bottom,Match,0,5,5,12,w,0.566810909,0,STAR,TRIANGLE,PENTAGON,1,0,6,6,78,1,1,23,21,1
P2,Stranger,Top,Mismatch,0,6,6,11,w,0.800027003,0,STAR,TRIANGLE,PENTAGON,0,0,6,7,78,1,1,23,21,1
P2,Stranger,Top,Mismatch,0,7,7,11,w,0.600149546,0,STAR,TRIANGLE,PENTAGON,0,0,6,8,78,1,1,23,21,1
P1,P1,Bottom,Match,0,8,8,4,w,0.500430911,0,STAR,TRIANGLE,PENTAGON,1,0,7,9,78,1,1,23,21,1
P2,P1,Top,Mismatch,0,9,9,10,None,None,1,STAR,TRIANGLE,PENTAGON,3,0,7,10,78,1,1,23,21,1
Stranger,Stranger,Top,Match,0,10,10,16,w,0.600170469,0,STAR,TRIANGLE,PENTAGON,1,0,8,11,78,1,1,23,21,1
P1,P1,Top,Match,0,11,11,0,w,0.683540551,0,STAR,TRIANGLE,PENTAGON,1,0,9,12,78,1,1,23,21,1
P1,P2,Bottom,Mismatch,0,12,12,7,o,0.783496453,0,STAR,TRIANGLE,PENTAGON,1,0,10,13,78,1,1,23,21,1
P1,P1,Top,Match,0,13,13,0,w,0.583425549,0,STAR,TRIANGLE,PENTAGON,1,0,11,14,78,1,1,23,21,1
Stranger,Stranger,Top,Match,0,14,14,17,w,0.616844328,0,STAR,TRIANGLE,PENTAGON,1,0,12,15,78,1,1,23,21,1
P1,P1,Top,Match,0,15,15,1,w,0.600136518,0,STAR,TRIANGLE,PENTAGON,1,0,13,16,78,1,1,23,21,1
Stranger,P1,Bottom,Mismatch,0,16,16,22,o,0.650179411,0,STAR,TRIANGLE,PENTAGON,1,0,14,17,78,1,1,23,21,1
P1,P1,Bottom,Match,0,17,17,5,w,0.800193209,0,STAR,TRIANGLE,PENTAGON,1,0,15,18,78,1,1,23,21,1
Stranger,Stranger,Top,Match,0,18,18,16,w,0.616843933,0,STAR,TRIANGLE,PENTAGON,1,0,16,19,78,1,1,23,21,1
Stranger,Stranger,Top,Match,0,19,19,17,w,0.600078089,0,STAR,TRIANGLE,PENTAGON,1,0,17,20,78,1,1,23,21,1
P2,Stranger,Top,Mismatch,0,20,20,11,o,0.766848651,0,STAR,TRIANGLE,PENTAGON,1,0,18,21,78,1,1,23,21,1
P1,P1,Bottom,Match,0,21,21,5,w,0.633760981,0,STAR,TRIANGLE,PENTAGON,1,0,19,22,78,1,1,23,21,1
P1,P2,Top,Mismatch,0,22,22,3,o,0.933460113,0,STAR,TRIANGLE,PENTAGON,1,0,20,23,78,1,1,23,21,1
P2,P2,Top,Match,0,23,23,9,w,0.600138886,0,STAR,TRIANGLE,PENTAGON,1,0,21,24,78,1,1,23,21,1
P2,P1,Bottom,Mismatch,1,0,24,14,w,0.566874075,0,STAR,TRIANGLE,PENTAGON,0,0,21,25,78,1,1,23,21,1
P2,P1,Top,Mismatch,1,1,25,10,None,None,1,STAR,TRIANGLE,PENTAGON,3,0,21,26,78,1,1,23,21,1
P1,Stranger,Top,Mismatch,1,2,26,2,o,1.05014238,0,STAR,TRIANGLE,PENTAGON,1,0,22,27,78,1,1,23,21,1
Stranger,P1,Top,Mismatch,1,3,27,18,o,0.883465383,0,STAR,TRIANGLE,PENTAGON,1,0,23,28,78,1,1,23,21,1
P1,P2,Bottom,Mismatch,1,4,28,7,o,0.967094051,0,STAR,TRIANGLE,PENTAGON,1,0,24,29,78,1,1,23,21,1
Stranger,P1,Top,Mismatch,1,5,29,18,o,0.816793637,0,STAR,TRIANGLE,PENTAGON,1,0,25,30,78,1,1,23,21,1
Stranger,P2,Bottom,Mismatch,1,6,30,23,o,0.600178365,0,STAR,TRIANGLE,PENTAGON,1,0,26,31,78,1,1,23,21,1
