ExperimentName,Subject,Age,hand,Sex,Block,Bed[Block],Procedure[Block],Bed,flankerform,flanker.ACC,flanker.RT,MT4.ACC,MT4.RT,Procedure[Trial],target,flanker,targetform
FL_Personenaufg,1,25,right,female,50,,MT,nn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,in,,,,0,223,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mm,,,,0,240,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,in,,,,0,186,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mn,,,,1,54,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nn,,,,0,104,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,im,,,,0,160,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,in,,,,0,238,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,im,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bn,,,,1,135,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nn,,,,0,269,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nm,,,,0,157,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nm,,,,1,203,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nm,,,,0,150,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mn,,,,0,60,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,im,,,,0,78,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mm,,,,1,144,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bn,,,,1,142,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bm,,,,1,20,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,in,,,,1,143,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mm,,,,1,181,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nn,,,,1,210,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bm,,,,1,230,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bn,,,,1,264,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nm,,,,1,192,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,im,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mn,,,,1,221,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bn,,,,1,102,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bm,,,,1,262,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,in,,,,0,319,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mn,,,,0,69,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,in,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,im,,,,0,206,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nn,,,,0,353,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,nm,,,,0,246,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,mm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,im,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,50,,MT,bn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mm,,,,1,338,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nm,,,,0,535,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mn,,,,1,187,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,in,,,,0,175,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nn,,,,1,132,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mm,,,,1,227,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,im,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nm,,,,0,116,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mm,,,,1,331,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bn,,,,1,137,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,in,,,,0,151,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nn,,,,1,133,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mn,,,,0,115,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nn,,,,1,219,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bn,,,,0,173,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bm,,,,0,186,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,im,,,,1,238,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nm,,,,0,7,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mn,,,,0,3,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bm,,,,0,144,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,im,,,,1,174,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,in,,,,1,163,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nn,,,,0,153,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bn,,,,1,118,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bn,,,,1,158,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mn,,,,0,187,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mn,,,,1,95,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nm,,,,1,159,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nm,,,,0,293,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mm,,,,1,164,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bm,,,,0,153,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,im,,,,1,222,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,in,,,,0,1057,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,im,,,,0,357,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,in,,,,0,17,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mm,,,,1,429,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nn,,,,1,302,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,in,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nn,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,im,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,bm,,,,0,0,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,mn,,,,0,188,MTproc,,,
FL_Personenaufg,1,25,right,female,52,,MT,nm,,,,0,312,MTproc,,,
