ExperimentName,Subject,Age,Handedness,Sex,Block,Bed,corr[Block],form[Block],Procedure[Block],Match,corr[Trial],form[Trial],Label[Trial],MT4.ACC,MT4.RT,Procedure,ACC,RT,target,Identity,Slide2.ACC,Slide2.RT,PrimeAss
RP_Personenaufg,1,19,right,female,25,,,,RP,incomp,,,,,,RPproc,1,511,square.png,Mutter,,,Bekannter
RP_Personenaufg,1,19,right,female,25,,,,RP,incomp,,,,,,RPproc,1,433,square.png,Mutter,,,Ich
RP_Personenaufg,1,19,right,female,25,,,,RP,comp,,,,,,RPproc,1,335,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,25,,,,RP,incomp,,,,,,RPproc,1,386,circle.png,Bekannter,,,Mutter
RP_Personenaufg,1,19,right,female,25,,,,RP,incomp,,,,,,RPproc,1,490,triangle.png,Ich,,,Bekannter
RP_Personenaufg,1,19,right,female,25,,,,RP,comp,,,,,,RPproc,1,358,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,25,,,,RP,incomp,,,,,,RPproc,1,544,square.png,Mutter,,,Bekannter
RP_Personenaufg,1,19,right,female,25,,,,RP,comp,,,,,,RPproc,1,338,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,25,,,,RP,incomp,,,,,,RPproc,1,316,circle.png,Bekannter,,,Ich
RP_Personenaufg,1,19,right,female,25,,,,RP,incomp,,,,,,RPproc,1,496,square.png,Mutter,,,Ich
RP_Personenaufg,1,19,right,female,25,,,,RP,comp,,,,,,RPproc,0,275,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,25,,,,RP,comp,,,,,,RPproc,1,458,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,25,,,,RP,incomp,,,,,,RPproc,1,463,triangle.png,Ich,,,Mutter
RP_Personenaufg,1,19,right,female,25,,,,RP,comp,,,,,,RPproc,1,308,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,25,,,,RP,comp,,,,,,RPproc,1,224,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,26,,,,MT,in,s,square.png,Ich,1,945,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,in,s,circle.png,Ich,1,602,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,im,l,triangle.png,Ich,1,411,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mm,l,square.png,Mutter,0,421,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bm,l,circle.png,Bekannter,1,494,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,im,l,triangle.png,Ich,1,524,MTproc,,,,,,,
