"Indice","r","LLCI","ULCI","Target","Paper_ID"
"RT",0.355370112088775,0.100804038249483,0.649811238152306,"Friend","Pn13E4"
"ACC",0.53561350095243,0.272155061273849,0.682769551602623,"Friend","Pn13E4"
"Dprime",0.179905933330104,-0.119994964058821,0.420269968519276,"Friend","Pn13E4"
"Efficiency",0.0989859177516204,-0.0127431953670226,0.190867601997115,"Friend","Pn13E4"
"ezDDM: v",0.433118021080736,0.250768346499476,0.516404787277286,"Friend","Pn13E4"
"ezDDM: z",0.53561350095243,0.272155061273849,0.682769551602623,"Friend","Pn13E4"
