subject,trialnum,shape,label,type,correct,latency,blocktype
739685494,1,stranger,self,nonmatch,0,478,blocked
739685494,2,stranger,friend,nonmatch,1,603,blocked
739685494,3,stranger,friend,nonmatch,1,426,blocked
739685494,4,stranger,friend,nonmatch,0,450,blocked
739685494,5,stranger,stranger,match,1,560,blocked
739685494,6,stranger,stranger,match,1,416,blocked
739685494,7,stranger,stranger,match,1,533,blocked
739685494,8,stranger,friend,nonmatch,1,484,blocked
739685494,9,stranger,stranger,match,1,531,blocked
739685494,10,stranger,stranger,match,1,427,blocked
739685494,11,stranger,stranger,match,1,403,blocked
739685494,12,stranger,stranger,match,1,363,blocked
739685494,13,stranger,friend,nonmatch,1,442,blocked
739685494,14,stranger,stranger,match,1,425,blocked
739685494,15,stranger,stranger,match,1,379,blocked
739685494,16,stranger,stranger,match,1,395,blocked
739685494,17,stranger,friend,nonmatch,1,428,blocked
739685494,18,stranger,stranger,match,1,440,blocked
739685494,19,stranger,stranger,match,1,391,blocked
739685494,20,stranger,friend,nonmatch,1,418,blocked
739685494,21,stranger,self,nonmatch,0,391,blocked
739685494,22,stranger,stranger,match,1,465,blocked
739685494,23,stranger,stranger,match,1,756,blocked
739685494,24,stranger,stranger,match,1,413,blocked
739685494,25,stranger,stranger,match,1,358,blocked
739685494,26,stranger,self,nonmatch,1,353,blocked
739685494,27,stranger,stranger,match,1,379,blocked
739685494,28,stranger,self,nonmatch,1,412,blocked
739685494,29,stranger,friend,nonmatch,0,291,blocked
739685494,30,stranger,friend,nonmatch,0,346,blocked
739685494,31,stranger,self,nonmatch,1,439,blocked
739685494,32,stranger,stranger,match,1,345,blocked
739685494,33,stranger,self,nonmatch,1,428,blocked
739685494,34,stranger,stranger,match,1,414,blocked
739685494,35,stranger,stranger,match,1,390,blocked
739685494,36,stranger,friend,nonmatch,1,394,blocked
739685494,37,stranger,stranger,match,1,334,blocked
739685494,38,stranger,self,nonmatch,1,493,blocked
739685494,39,stranger,stranger,match,1,357,blocked
739685494,40,stranger,stranger,match,1,394,blocked
739685494,41,stranger,friend,nonmatch,1,382,blocked
739685494,42,stranger,friend,nonmatch,1,402,blocked
739685494,43,stranger,self,nonmatch,0,383,blocked
739685494,44,stranger,stranger,match,1,488,blocked
739685494,45,stranger,self,nonmatch,1,426,blocked
739685494,46,stranger,self,nonmatch,1,385,blocked
739685494,47,stranger,friend,nonmatch,0,380,blocked
739685494,48,stranger,self,nonmatch,0,336,blocked
739685494,49,stranger,stranger,match,1,374,blocked
739685494,50,stranger,stranger,match,0,376,blocked
739685494,51,stranger,stranger,match,1,715,blocked
739685494,52,stranger,self,nonmatch,1,506,blocked
739685494,53,stranger,friend,nonmatch,1,644,blocked
739685494,54,stranger,friend,nonmatch,0,423,blocked
739685494,55,stranger,self,nonmatch,1,365,blocked
739685494,56,stranger,self,nonmatch,1,468,blocked
739685494,57,stranger,stranger,match,1,386,blocked
739685494,58,stranger,stranger,match,1,426,blocked
739685494,59,stranger,stranger,match,1,338,blocked
739685494,60,stranger,self,nonmatch,1,308,blocked
739685494,1,self,self,match,1,680,blocked
739685494,2,self,self,match,1,342,blocked
739685494,3,self,friend,nonmatch,1,315,blocked
739685494,4,self,friend,nonmatch,1,390,blocked
739685494,5,self,stranger,nonmatch,0,397,blocked
739685494,6,self,self,match,1,352,blocked
739685494,7,self,self,match,1,524,blocked
739685494,8,self,self,match,1,369,blocked
739685494,9,self,self,match,1,355,blocked
739685494,10,self,friend,nonmatch,1,323,blocked
739685494,11,self,stranger,nonmatch,1,351,blocked
739685494,12,self,self,match,1,281,blocked
739685494,13,self,self,match,1,323,blocked
739685494,14,self,stranger,nonmatch,0,329,blocked
739685494,15,self,stranger,nonmatch,1,448,blocked
739685494,16,self,self,match,1,376,blocked
739685494,17,self,self,match,1,329,blocked
739685494,18,self,self,match,1,328,blocked
739685494,19,self,stranger,nonmatch,1,390,blocked
739685494,20,self,self,match,1,379,blocked
739685494,21,self,friend,nonmatch,1,386,blocked
739685494,22,self,stranger,nonmatch,0,345,blocked
739685494,23,self,self,match,1,357,blocked
739685494,24,self,self,match,1,237,blocked
739685494,25,self,friend,nonmatch,1,342,blocked
739685494,26,self,stranger,nonmatch,0,363,blocked
739685494,27,self,self,match,1,342,blocked
739685494,28,self,friend,nonmatch,1,382,blocked
739685494,29,self,self,match,1,352,blocked
739685494,30,self,self,match,1,342,blocked
739685494,31,self,self,match,1,315,blocked
739685494,32,self,self,match,1,282,blocked
739685494,33,self,self,match,1,350,blocked
739685494,34,self,self,match,1,423,blocked
739685494,35,self,friend,nonmatch,1,293,blocked
739685494,36,self,self,match,1,361,blocked
739685494,37,self,stranger,nonmatch,1,340,blocked
739685494,38,self,self,match,1,408,blocked
739685494,39,self,self,match,1,457,blocked
739685494,40,self,self,match,1,312,blocked
739685494,41,self,self,match,1,296,blocked
739685494,42,self,friend,nonmatch,0,346,blocked
739685494,43,self,stranger,nonmatch,1,357,blocked
739685494,44,self,self,match,1,413,blocked
739685494,45,self,self,match,1,330,blocked
739685494,46,self,stranger,nonmatch,1,346,blocked
739685494,47,self,stranger,nonmatch,0,322,blocked
739685494,48,self,friend,nonmatch,1,472,blocked
739685494,49,self,friend,nonmatch,1,395,blocked
739685494,50,self,friend,nonmatch,1,405,blocked
739685494,51,self,friend,nonmatch,1,383,blocked
739685494,52,self,self,match,1,402,blocked
739685494,53,self,friend,nonmatch,1,377,blocked
739685494,54,self,stranger,nonmatch,1,361,blocked
739685494,55,self,stranger,nonmatch,1,388,blocked
739685494,56,self,friend,nonmatch,1,347,blocked
739685494,57,self,self,match,1,318,blocked
739685494,58,self,friend,nonmatch,0,355,blocked
739685494,59,self,stranger,nonmatch,1,428,blocked
739685494,60,self,stranger,nonmatch,1,397,blocked
739685494,1,self,friend,nonmatch,1,482,mixed
739685494,2,self,self,match,0,737,mixed
739685494,3,stranger,stranger,match,1,785,mixed
739685494,4,self,stranger,nonmatch,1,531,mixed
739685494,5,stranger,self,nonmatch,0,525,mixed
739685494,6,self,self,match,1,492,mixed
739685494,7,friend,self,nonmatch,0,589,mixed
739685494,8,friend,stranger,nonmatch,1,571,mixed
739685494,9,stranger,stranger,match,1,852,mixed
739685494,10,stranger,friend,nonmatch,1,926,mixed
739685494,11,self,self,match,1,397,mixed
739685494,12,friend,stranger,nonmatch,1,546,mixed
739685494,13,friend,friend,match,1,402,mixed
739685494,14,self,self,match,1,379,mixed
739685494,15,self,friend,nonmatch,1,415,mixed
739685494,16,stranger,friend,nonmatch,1,674,mixed
739685494,17,self,self,match,1,428,mixed
739685494,18,stranger,self,nonmatch,1,544,mixed
739685494,19,friend,self,nonmatch,1,498,mixed
739685494,20,stranger,self,nonmatch,1,487,mixed
739685494,21,stranger,stranger,match,1,429,mixed
739685494,22,stranger,stranger,match,1,433,mixed
739685494,23,friend,stranger,nonmatch,1,449,mixed
739685494,24,friend,friend,match,1,439,mixed
739685494,25,friend,friend,match,1,407,mixed
739685494,26,self,self,match,1,455,mixed
739685494,27,friend,friend,match,1,408,mixed
739685494,28,self,friend,nonmatch,1,407,mixed
739685494,29,friend,friend,match,1,452,mixed
739685494,30,friend,friend,match,1,458,mixed
739685494,31,friend,friend,match,1,433,mixed
739685494,32,friend,self,nonmatch,1,574,mixed
739685494,33,self,self,match,1,407,mixed
739685494,34,stranger,stranger,match,0,646,mixed
739685494,35,stranger,friend,nonmatch,1,451,mixed
739685494,36,friend,friend,match,1,685,mixed
739685494,37,self,self,match,1,401,mixed
739685494,38,stranger,stranger,match,1,389,mixed
739685494,39,self,stranger,nonmatch,0,444,mixed
739685494,40,friend,friend,match,1,376,mixed
739685494,41,stranger,stranger,match,1,406,mixed
739685494,42,stranger,friend,nonmatch,1,410,mixed
739685494,43,stranger,self,nonmatch,1,459,mixed
739685494,44,friend,friend,match,1,722,mixed
739685494,45,self,friend,nonmatch,0,1035,mixed
739685494,46,stranger,self,nonmatch,1,454,mixed
739685494,47,friend,self,nonmatch,1,469,mixed
739685494,48,friend,stranger,nonmatch,0,578,mixed
739685494,49,self,self,match,1,395,mixed
739685494,50,stranger,stranger,match,1,706,mixed
739685494,51,stranger,friend,nonmatch,1,389,mixed
739685494,52,self,self,match,1,372,mixed
739685494,54,stranger,stranger,match,0,550,mixed
739685494,55,self,friend,nonmatch,1,422,mixed
739685494,56,stranger,stranger,match,1,630,mixed
739685494,57,self,stranger,nonmatch,1,816,mixed
739685494,58,self,stranger,nonmatch,1,367,mixed
739685494,59,friend,self,nonmatch,1,526,mixed
739685494,60,self,stranger,nonmatch,1,398,mixed
739685494,1,friend,stranger,nonmatch,1,893,mixed
739685494,2,self,self,match,1,306,mixed
739685494,3,friend,self,nonmatch,1,390,mixed
739685494,4,stranger,self,nonmatch,1,449,mixed
739685494,5,self,self,match,1,328,mixed
739685494,6,friend,self,nonmatch,1,432,mixed
739685494,7,self,stranger,nonmatch,1,394,mixed
739685494,8,stranger,stranger,match,1,395,mixed
739685494,9,self,self,match,1,409,mixed
739685494,10,stranger,self,nonmatch,1,438,mixed
739685494,11,self,self,match,1,333,mixed
739685494,12,friend,friend,match,1,440,mixed
739685494,13,stranger,stranger,match,0,474,mixed
739685494,14,friend,friend,match,1,392,mixed
739685494,15,self,self,match,1,367,mixed
739685494,16,self,self,match,0,434,mixed
739685494,17,stranger,stranger,match,1,632,mixed
739685494,18,friend,friend,match,1,388,mixed
739685494,19,self,self,match,1,346,mixed
739685494,20,self,self,match,1,382,mixed
739685494,21,friend,friend,match,1,631,mixed
739685494,22,stranger,friend,nonmatch,0,309,mixed
739685494,23,stranger,friend,nonmatch,1,479,mixed
