subject,shape,label,type,correct,latency,blocktype
120276743,Stranger,Friend,nonmatch,1,699,mixed
120276743,Stranger,Friend,nonmatch,1,490,mixed
120276743,Friend,Friend,match,0,557,mixed
120276743,Stranger,Self,nonmatch,0,532,mixed
120276743,Stranger,Friend,nonmatch,1,620,mixed
120276743,Self,Self,match,0,350,mixed
120276743,Stranger,Friend,nonmatch,0,384,mixed
120276743,Friend,Friend,match,1,286,mixed
120276743,Stranger,Stranger,match,0,657,mixed
120276743,Self,Stranger,nonmatch,0,717,mixed
120276743,Self,Friend,nonmatch,1,571,mixed
120276743,Self,Self,match,0,365,mixed
120276743,Stranger,Stranger,match,1,536,mixed
120276743,Self,Friend,nonmatch,0,648,mixed
120276743,Friend,Self,nonmatch,0,357,mixed
120276743,Stranger,Stranger,match,1,462,mixed
120276743,Stranger,Stranger,match,0,377,mixed
120276743,Stranger,Self,nonmatch,0,528,mixed
120276743,Friend,Self,nonmatch,0,447,mixed
120276743,Stranger,Stranger,match,0,294,mixed
120276743,Self,Self,match,1,418,mixed
120276743,Friend,Friend,match,0,481,mixed
120276743,Friend,Friend,match,1,337,mixed
120276743,Friend,Friend,match,1,450,mixed
120276743,Self,Stranger,nonmatch,1,616,mixed
120276743,Friend,Stranger,nonmatch,1,652,mixed
120276743,Friend,Friend,match,1,778,mixed
120276743,Friend,Self,nonmatch,1,645,mixed
120276743,Self,Stranger,nonmatch,1,825,mixed
120276743,Self,Self,match,0,980,mixed
120276743,Stranger,Stranger,match,0,618,mixed
120276743,Self,Self,match,1,647,mixed
120276743,Self,Self,match,1,335,mixed
120276743,Self,Self,match,1,426,mixed
120276743,Self,Self,match,1,410,mixed
120276743,Self,Friend,nonmatch,0,584,mixed
120276743,Friend,Friend,match,1,573,mixed
120276743,Self,Self,match,1,463,mixed
120276743,Friend,Self,nonmatch,1,420,mixed
120276743,Friend,Stranger,nonmatch,1,540,mixed
120276743,Stranger,Friend,nonmatch,0,860,mixed
120276743,Self,Friend,nonmatch,0,335,mixed
120276743,Self,Friend,nonmatch,1,507,mixed
120276743,Friend,Stranger,nonmatch,1,593,mixed
120276743,Self,Stranger,nonmatch,1,664,mixed
120276743,Stranger,Self,nonmatch,1,684,mixed
120276743,Friend,Stranger,nonmatch,1,617,mixed
120276743,Friend,Self,nonmatch,1,589,mixed
120276743,Friend,Stranger,nonmatch,1,780,mixed
120276743,Stranger,Self,nonmatch,1,655,mixed
120276743,Friend,Friend,match,0,474,mixed
120276743,Stranger,Stranger,match,0,667,mixed
120276743,Stranger,Self,nonmatch,0,497,mixed
120276743,Friend,Friend,match,0,741,mixed
120276743,Stranger,Stranger,match,1,961,mixed
120276743,Stranger,Stranger,match,1,437,mixed
