"Indice","r","LLCI","ULCI","Target","Paper_ID"
"RT",0.586332098550966,0.515474499994736,0.654203017133561,"Friend","P0E1"
"ACC",0.276086684176868,0.166006672826411,0.384314241266535,"Friend","P0E1"
"Dprime",0.226071026553385,0.130027619632264,0.323478781432715,"Friend","P0E1"
"Efficiency",0.280811216861394,0.187825259597392,0.341293852232216,"Friend","P0E1"
