"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Friend","RT",0.554603967540919,0.442764717397162,0.67551327555671,"Pt27E1"
"Friend","ACC",0.491110414856192,0.32511896890564,0.631704046086372,"Pt27E1"
"Friend","d Prime",0.499988562840215,0.280455770207319,0.678951387044733,"Pt27E1"
"Friend","Efficiency",0.587375822329032,0.402051472402,0.697997334199201,"Pt27E1"
"Friend","ezDDM v",0.488805655490033,0.272891876205128,0.652251068754524,"Pt27E1"
"Friend","ezDDM z",0.0816393211545367,-0.0688318444860066,0.277850950186096,"Pt27E1"
"Friend","rwDDM v",0.291296682798004,0.111549854157952,0.4462757076965,"Pt27E1"
"Friend","rwDDM z",-0.00161247936762469,-0.205012148207879,0.206643829801107,"Pt27E1"
"Stranger","RT",0.693893979334009,0.564332038945051,0.79305020886198,"Pt27E1"
"Stranger","ACC",0.441952265246456,0.254416666359141,0.632482038610149,"Pt27E1"
"Stranger","d Prime",0.534761630080265,0.339802928865968,0.673602501851213,"Pt27E1"
"Stranger","Efficiency",0.653343289915457,0.516977823083021,0.789429746206328,"Pt27E1"
"Stranger","ezDDM v",0.576114372045662,0.415759719619519,0.746633297760287,"Pt27E1"
"Stranger","ezDDM z",0.128067036152908,-0.0275925905396207,0.209367532067617,"Pt27E1"
"Stranger","rwDDM v",0.330628608651915,0.0655100678683446,0.493043395298692,"Pt27E1"
"Stranger","rwDDM z",0.188860086429004,-0.108868055952589,0.404914897084975,"Pt27E1"
