"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Friend","RT",0.556533232907059,0.525334660338174,0.591381809880238,"Pt2E1"
"Friend","ACC",0.457725772335206,0.390520392510692,0.540045375061875,"Pt2E1"
"Friend","d Prime",0.264139234839677,0.173710018912006,0.346475634177147,"Pt2E1"
"Friend","Efficiency",0.511404692862439,0.427790350059227,0.632606520964378,"Pt2E1"
"Friend","ezDDM v",0.491504225261684,0.419391682002997,0.538129660244536,"Pt2E1"
"Friend","ezDDM z",0.107657772856163,0.0102290124738614,0.208840951479974,"Pt2E1"
"Friend","rwDDM v",0.177559292239405,0.106574705065513,0.248202666163465,"Pt2E1"
"Friend","rwDDM z",0.0229822769165958,-0.101427534765966,0.121156012511235,"Pt2E1"
"Stranger","RT",0.478209998552525,0.450336598849852,0.50525070141969,"Pt2E1"
"Stranger","ACC",0.580218851962571,0.511099930982837,0.657939504411811,"Pt2E1"
"Stranger","d Prime",0.317450218276873,0.244521502346624,0.415407801870039,"Pt2E1"
"Stranger","Efficiency",0.473328363758569,0.353165775723023,0.612966456148776,"Pt2E1"
"Stranger","ezDDM v",0.487706256801454,0.42502379307519,0.554402066323971,"Pt2E1"
"Stranger","ezDDM z",0.0695679671592449,0.0133620405924121,0.146075523728746,"Pt2E1"
"Stranger","rwDDM v",0.124257826350692,0.00812032724884038,0.211397601102262,"Pt2E1"
"Stranger","rwDDM z",0.0230011019565664,-0.0504677012250367,0.121021719483925,"Pt2E1"
