Target,Indice,r,LLCI,ULCI,Paper_ID
Acquaintance,RT,0.083729824,-0.316579558,0.346835806,P54E1
Acquaintance,ACC,0.10583599,-0.163378856,0.447729703,P54E1
Acquaintance,d Prime,-0.104742686,-0.207137701,0.081168894,P54E1
Acquaintance,Efficiency,0.349409698,0.016577125,0.647822485,P54E1
Acquaintance,ezDDM v,0.136377284,0.004398757,0.26382364,P54E1
Acquaintance,ezDDM z,-0.003233997,-0.222946676,0.269001402,P54E1
Acquaintance,rwDDM v,-0.034778884,-0.186205339,0.170259935,P54E1
Acquaintance,rwDDM z,0.056663548,-0.200351147,0.331461264,P54E1
Mother,RT,-0.227329311,-0.593900503,0.020065004,P54E1
Mother,ACC,0.131527158,-0.206305012,0.332365084,P54E1
Mother,d Prime,0.043448462,-0.160579681,0.145607456,P54E1
Mother,Efficiency,-0.451022856,-0.737398128,-0.11398208,P54E1
Mother,ezDDM v,0.080267316,-0.02138321,0.228397096,P54E1
Mother,ezDDM z,0.253155903,0.042366369,0.447588142,P54E1
Mother,rwDDM v,0.061155991,-0.214632534,0.243956187,P54E1
Mother,rwDDM z,0.106698561,-0.04065389,0.352433178,P54E1
None,RT,0.048848213,-0.431467469,0.412069835,P54E1
None,ACC,0.201696956,-0.071885201,0.442354359,P54E1
None,d Prime,-0.257817185,-0.443446344,-0.14655867,P54E1
None,Efficiency,0.169824692,-0.14007926,0.383958104,P54E1
None,ezDDM v,0.206224315,0.089095835,0.312700486,P54E1
None,ezDDM z,-0.135682895,-0.234542337,0.05418039,P54E1
None,rwDDM v,0.072841224,-0.100330144,0.24601055,P54E1
None,rwDDM z,0.053348501,-0.203725559,0.404796096,P54E1
