"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Mother","RT",0.669298455517059,0.482558150547831,0.824478171478104,"Ps5E3"
"Mother","ACC",0.343981356609862,0.0567880110265399,0.614183109428852,"Ps5E3"
"Mother","d Prime",0.383716415371366,0.1018050102466,0.636597968471213,"Ps5E3"
"Mother","Efficiency",0.591938688204245,0.330497439420701,0.803716400677187,"Ps5E3"
"Mother","ezDDM v",0.42982505550398,0.172731733625521,0.665943909845512,"Ps5E3"
"Mother","ezDDM z",0.213298289051096,-0.0738469200781953,0.516570739917402,"Ps5E3"
"Mother","rwDDM v",0.126926145431158,-0.197341609155499,0.456179237647751,"Ps5E3"
"Mother","rwDDM z",0.0543425004930308,-0.302172061646659,0.426344572828684,"Ps5E3"
"Stranger","RT",0.65809591931999,0.462598853319139,0.820439620275338,"Ps5E3"
"Stranger","ACC",0.697365840624132,0.501416737907723,0.853321554989685,"Ps5E3"
"Stranger","d Prime",0.382165716231874,0.1185196195857,0.645127088046086,"Ps5E3"
"Stranger","Efficiency",0.781012501757512,0.598308836308273,0.899692138339847,"Ps5E3"
"Stranger","ezDDM v",0.60415298125831,0.392247397608718,0.785496248565906,"Ps5E3"
"Stranger","ezDDM z",0.271023951185957,-0.015672700308039,0.560475525307137,"Ps5E3"
"Stranger","rwDDM v",0.465728946507118,0.181962260015555,0.710569779277594,"Ps5E3"
"Stranger","rwDDM z",0.280118614548674,-0.0438448091315205,0.573563165324352,"Ps5E3"
