Target,Indice,r,LLCI,ULCI,Paper_ID
Acquaintance,RT,0.21611737,-0.036880651,0.481263299,P54E1
Acquaintance,ACC,0.082165183,-0.20346367,0.374132787,P54E1
Acquaintance,d Prime,-0.148498225,-0.406775425,0.147926814,P54E1
Acquaintance,Efficiency,0.209785603,-0.100083277,0.497672334,P54E1
Acquaintance,ezDDM v,0.160860574,-0.101731469,0.438782957,P54E1
Acquaintance,ezDDM z,-0.047015911,-0.296622692,0.229044804,P54E1
Acquaintance,rwDDM v,-0.042897045,-0.323138293,0.243303482,P54E1
Acquaintance,rwDDM z,-0.026885192,-0.335432699,0.29002148,P54E1
Mother,RT,-0.209834212,-0.479566742,0.097773172,P54E1
Mother,ACC,0.21175834,-0.064238581,0.483508922,P54E1
Mother,d Prime,0.050484936,-0.225664645,0.339276144,P54E1
Mother,Efficiency,-0.215340567,-0.759021457,0.220536247,P54E1
Mother,ezDDM v,0.093161354,-0.188490544,0.378876099,P54E1
Mother,ezDDM z,0.25642216,0.012771896,0.49000009,P54E1
Mother,rwDDM v,0.10016251,-0.179991747,0.363894073,P54E1
Mother,rwDDM z,0.159596374,-0.140848514,0.44882142,P54E1
None,RT,0.201083981,-0.05024763,0.464232784,P54E1
None,ACC,0.243024098,-0.068619563,0.525761947,P54E1
None,d Prime,-0.179832282,-0.43332505,0.112714006,P54E1
None,Efficiency,0.283402639,-0.058215932,0.563867361,P54E1
None,ezDDM v,0.176109361,-0.08132091,0.429235799,P54E1
None,ezDDM z,-0.140172106,-0.368706904,0.105824018,P54E1
None,rwDDM v,0.084341422,-0.225528478,0.383807292,P54E1
None,rwDDM z,0.016902905,-0.306397499,0.336575769,P54E1
