Target,Indice,r,LLCI,ULCI,Paper_ID
Friend,RT,0.548714363,0.339922558,0.742569303,Pt7E1
Friend,ACC,0.60561802,0.433107679,0.749884514,Pt7E1
Friend,d Prime,0.349257971,0.183841263,0.511402234,Pt7E1
Friend,Efficiency,0.632353806,0.383165579,0.798280176,Pt7E1
Friend,ezDDM v,0.516651149,0.326499853,0.664199613,Pt7E1
Friend,ezDDM z,0.112258626,-0.091570754,0.324957486,Pt7E1
Friend,rwDDM v,0.250546845,-0.148987984,0.581535184,Pt7E1
Friend,rwDDM z,0.182965322,-0.078494447,0.424060931,Pt7E1
Stranger,RT,0.539028164,0.325862802,0.703589674,Pt7E1
Stranger,ACC,0.680584001,0.542607329,0.789844822,Pt7E1
Stranger,d Prime,0.447793577,0.292784468,0.596157829,Pt7E1
Stranger,Efficiency,0.727607442,0.467160776,0.870523099,Pt7E1
Stranger,ezDDM v,0.614183188,0.440701049,0.745466343,Pt7E1
Stranger,ezDDM z,0.239834939,0.047226158,0.43064531,Pt7E1
Stranger,rwDDM v,0.319577834,-0.088260707,0.63507716,Pt7E1
Stranger,rwDDM z,0.252674251,0.006384463,0.47998977,Pt7E1
