"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Friend","RT",0.799346781614547,0.689400993201675,0.888218058387457,"Pt28E1"
"Friend","ACC",0.335079808636639,0.0463766104821445,0.601989025735997,"Pt28E1"
"Friend","d Prime",0.389157556239874,0.154744752354238,0.612159294382041,"Pt28E1"
"Friend","Efficiency",0.645777860251485,0.420932274335171,0.810432293092969,"Pt28E1"
"Friend","ezDDM v",0.550935160360968,0.355198512822705,0.728339955958402,"Pt28E1"
"Friend","ezDDM z",0.258204090224212,0.00603261610311124,0.508040574548465,"Pt28E1"
"Friend","rwDDM v",0.530175899407051,0.271699843946941,0.737120049958228,"Pt28E1"
"Friend","rwDDM z",0.111436480893519,-0.215710436095031,0.433993752217027,"Pt28E1"
"Stranger","RT",0.777423863312864,0.65639733128715,0.876674519900576,"Pt28E1"
"Stranger","ACC",0.673066928017394,0.485880179545467,0.820992870917052,"Pt28E1"
"Stranger","d Prime",0.588147851210699,0.40487868845289,0.752144801218623,"Pt28E1"
"Stranger","Efficiency",0.817684692191954,0.681822918520003,0.908833952067997,"Pt28E1"
"Stranger","ezDDM v",0.590887592439154,0.411976011632054,0.75206163621638,"Pt28E1"
"Stranger","ezDDM z",0.477978708771203,0.257748619890196,0.679742716892921,"Pt28E1"
"Stranger","rwDDM v",0.432450138988592,0.171139104756033,0.665652995492509,"Pt28E1"
"Stranger","rwDDM z",0.135365329153831,-0.184607824486202,0.432757796270664,"Pt28E1"
