"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Celebrity","RT",0.533091902406559,0.423643279938611,0.638656246468464,"P51E1"
"Celebrity","ACC",0.363528763193134,0.236814124226354,0.491132469798932,"P51E1"
"Celebrity","d Prime",0.170558765956448,0.0309818873038262,0.310728566166035,"P51E1"
"Celebrity","Efficiency",0.443050037164098,0.24672359014463,0.591376915255246,"P51E1"
"Celebrity","ezDDM v",0.417366127842438,0.297128246747473,0.53373374588675,"P51E1"
"Celebrity","ezDDM z",0.0215353129531695,-0.121655186998281,0.169326422123144,"P51E1"
"Celebrity","rwDDM v",0.13059164358018,-0.0261829185724062,0.281633868557928,"P51E1"
"Celebrity","rwDDM z",-0.0448402972573739,-0.226541607440772,0.137531781933532,"P51E1"
"Stranger","RT",0.519722224905721,0.405851422633766,0.623289310528804,"P51E1"
"Stranger","ACC",0.354760328070385,0.220501157310012,0.483226555726199,"P51E1"
"Stranger","d Prime",0.196917854091963,0.0528107678517571,0.343210863175858,"P51E1"
"Stranger","Efficiency",0.42001000207586,0.148434674295755,0.604379436030059,"P51E1"
"Stranger","ezDDM v",0.40502115553539,0.283315848435868,0.521201794664779,"P51E1"
"Stranger","ezDDM z",0.0444084231034564,-0.107718115292493,0.195608742877953,"P51E1"
"Stranger","rwDDM v",0.160141709594383,0.00790023869353122,0.307145106930641,"P51E1"
"Stranger","rwDDM z",-0.0175023020079274,-0.193900553883869,0.155416268005255,"P51E1"
