"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Stranger","RT",0.393116133761682,0.182272731100666,0.590994704281797,"Pt13E2"
"Stranger","ACC",0.464838260393655,0.273163086142385,0.642520481433445,"Pt13E2"
"Stranger","d Prime",0.258120288102368,0.0484982961843168,0.477932350092726,"Pt13E2"
"Stranger","Efficiency",0.5112059172858,0.229894666053195,0.740783494213968,"Pt13E2"
"Stranger","ezDDM v",0.466236532212523,0.266727652769856,0.647371137090115,"Pt13E2"
"Stranger","ezDDM z",-0.0401880011184973,-0.265616363501638,0.20297214210359,"Pt13E2"
"Stranger","rwDDM v",0.212044436066305,-0.0440830214957098,0.458938851678921,"Pt13E2"
"Stranger","rwDDM z",0.0801195190421368,-0.179084615946044,0.337735294611648,"Pt13E2"
