Subject,Age,Sex,Arouse.RESP,Valence.RESP,condition,respond3.ACC,respond3.RT,mood,Session
19,19,female,7,4,Self-shape_Matched,1,259,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,552,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,309,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,456,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,851,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,429,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,636,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,351,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,712,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,421,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,404,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,0,458,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,419,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,0,640,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,0,536,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,663,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,576,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,552,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,625,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,783,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,612,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,430,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,411,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,337,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,0,513,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,510,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,413,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,0,455,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,470,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,509,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,905,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,589,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,500,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,422,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,379,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,596,anxious,S1
