Subject,Age,Handedness,condition1correct,condition1level,Sex,respond3.ACC,respond3.RT
16,19,right,Self-shape_Matched,Alter cue,female,1,365
16,19,right,Familiar-shape_Mismatched,No cue,female,1,610
16,19,right,Self-shape_Matched,No cue,female,1,293
16,19,right,Familiar-shape_Matched,Alter cue,female,0,348
16,19,right,Self-shape_Matched,No cue,female,1,203
16,19,right,Familiar-shape_Mismatched,Alter cue,female,0,233
16,19,right,Self-shape_Matched,Alter cue,female,1,286
16,19,right,Self-shape_Matched,No cue,female,1,257
16,19,right,Familiar-shape_Matched,Alter cue,female,0,346
16,19,right,Familiar-shape_Mismatched,Alter cue,female,0,228
16,19,right,Self-shape_Mismatched,Alter cue,female,1,654
16,19,right,Familiar-shape_Mismatched,Alter cue,female,1,554
16,19,right,Familiar-shape_Mismatched,No cue,female,1,437
16,19,right,Self-shape_Matched,No cue,female,1,408
16,19,right,Self-shape_Mismatched,No cue,female,0,358
16,19,right,Self-shape_Mismatched,Alter cue,female,1,398
16,19,right,Self-shape_Mismatched,No cue,female,1,426
16,19,right,Self-shape_Matched,No cue,female,0,472
16,19,right,Self-shape_Mismatched,Alter cue,female,1,365
16,19,right,Familiar-shape_Mismatched,No cue,female,0,400
16,19,right,Familiar-shape_Matched,No cue,female,0,333
16,19,right,Familiar-shape_Mismatched,No cue,female,0,548
16,19,right,Familiar-shape_Mismatched,Alter cue,female,1,388
16,19,right,Familiar-shape_Mismatched,No cue,female,1,479
16,19,right,Familiar-shape_Mismatched,Alter cue,female,1,503
16,19,right,Familiar-shape_Matched,Alter cue,female,0,339
16,19,right,Familiar-shape_Mismatched,No cue,female,1,507
16,19,right,Familiar-shape_Mismatched,Alter cue,female,1,367
16,19,right,Self-shape_Matched,No cue,female,1,213
16,19,right,Familiar-shape_Matched,Alter cue,female,0,273
16,19,right,Familiar-shape_Matched,No cue,female,1,633
17,19,right,Self-shape_Mismatched,No cue,female,0,985
17,19,right,Self-shape_Matched,No cue,female,1,636
17,19,right,Familiar-shape_Matched,Alter cue,female,0,308
17,19,right,Self-shape_Matched,Alter cue,female,1,888
17,19,right,Self-shape_Mismatched,No cue,female,1,401
17,19,right,Familiar-shape_Mismatched,No cue,female,1,409
17,19,right,Self-shape_Matched,Alter cue,female,1,756
17,19,right,Familiar-shape_Matched,Alter cue,female,0,268
17,19,right,Self-shape_Mismatched,No cue,female,1,881
17,19,right,Familiar-shape_Mismatched,No cue,female,0,726
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,610
17,19,right,Familiar-shape_Matched,Alter cue,female,1,688
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,675
17,19,right,Self-shape_Mismatched,No cue,female,1,944
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,726
17,19,right,Familiar-shape_Mismatched,No cue,female,1,552
17,19,right,Self-shape_Matched,Alter cue,female,0,886
17,19,right,Self-shape_Mismatched,No cue,female,1,773
17,19,right,Familiar-shape_Matched,No cue,female,1,702
17,19,right,Familiar-shape_Matched,No cue,female,1,459
17,19,right,Familiar-shape_Mismatched,Alter cue,female,0,473
17,19,right,Self-shape_Mismatched,No cue,female,1,770
17,19,right,Familiar-shape_Matched,Alter cue,female,1,825
17,19,right,Self-shape_Matched,Alter cue,female,1,560
17,19,right,Self-shape_Mismatched,Alter cue,female,1,474
17,19,right,Self-shape_Matched,No cue,female,1,625
17,19,right,Self-shape_Mismatched,Alter cue,female,1,698
17,19,right,Familiar-shape_Matched,No cue,female,0,473
17,19,right,Self-shape_Mismatched,No cue,female,0,910
17,19,right,Familiar-shape_Matched,No cue,female,1,763
17,19,right,Self-shape_Matched,Alter cue,female,0,810
17,19,right,Self-shape_Matched,Alter cue,female,1,562
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,487
17,19,right,Familiar-shape_Mismatched,Alter cue,female,0,774
17,19,right,Self-shape_Mismatched,No cue,female,0,569
17,19,right,Familiar-shape_Matched,No cue,female,1,576
17,19,right,Self-shape_Matched,No cue,female,1,830
17,19,right,Familiar-shape_Matched,Alter cue,female,1,517
17,19,right,Self-shape_Mismatched,No cue,female,1,481
17,19,right,Familiar-shape_Matched,Alter cue,female,1,727
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,441
17,19,right,Self-shape_Mismatched,Alter cue,female,0,637
17,19,right,Self-shape_Matched,Alter cue,female,1,525
17,19,right,Familiar-shape_Matched,No cue,female,1,629
17,19,right,Self-shape_Matched,No cue,female,1,596
17,19,right,Familiar-shape_Mismatched,No cue,female,0,362
17,19,right,Familiar-shape_Matched,Alter cue,female,1,621
17,19,right,Familiar-shape_Matched,Alter cue,female,1,490
17,19,right,Familiar-shape_Matched,Alter cue,female,0,514
17,19,right,Self-shape_Matched,No cue,female,1,660
17,19,right,Familiar-shape_Mismatched,Alter cue,female,0,408
17,19,right,Self-shape_Matched,Alter cue,female,1,872
17,19,right,Self-shape_Matched,Alter cue,female,1,480
17,19,right,Self-shape_Matched,Alter cue,female,1,268
17,19,right,Familiar-shape_Matched,No cue,female,1,511
17,19,right,Self-shape_Matched,No cue,female,1,529
17,19,right,Familiar-shape_Matched,No cue,female,1,413
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,536
17,19,right,Familiar-shape_Matched,Alter cue,female,1,930
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,350
17,19,right,Familiar-shape_Mismatched,No cue,female,0,690
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,542
17,19,right,Familiar-shape_Matched,Alter cue,female,1,438
17,19,right,Familiar-shape_Matched,Alter cue,female,1,525
17,19,right,Self-shape_Mismatched,Alter cue,female,1,643
17,19,right,Familiar-shape_Matched,No cue,female,1,492
17,19,right,Familiar-shape_Matched,No cue,female,1,420
17,19,right,Self-shape_Matched,No cue,female,1,730
17,19,right,Familiar-shape_Mismatched,No cue,female,1,564
17,19,right,Familiar-shape_Matched,No cue,female,1,466
17,19,right,Familiar-shape_Mismatched,No cue,female,1,573
17,19,right,Familiar-shape_Matched,No cue,female,1,545
17,19,right,Familiar-shape_Mismatched,No cue,female,1,449
17,19,right,Self-shape_Matched,Alter cue,female,1,431
17,19,right,Self-shape_Mismatched,Alter cue,female,1,480
17,19,right,Familiar-shape_Matched,Alter cue,female,1,549
17,19,right,Familiar-shape_Mismatched,No cue,female,1,481
17,19,right,Self-shape_Matched,No cue,female,1,380
17,19,right,Self-shape_Matched,No cue,female,1,348
17,19,right,Self-shape_Mismatched,Alter cue,female,0,322
17,19,right,Familiar-shape_Mismatched,No cue,female,0,433
17,19,right,Familiar-shape_Mismatched,No cue,female,0,734
17,19,right,Self-shape_Mismatched,Alter cue,female,0,539
17,19,right,Familiar-shape_Matched,No cue,female,1,691
17,19,right,Familiar-shape_Matched,Alter cue,female,1,466
17,19,right,Familiar-shape_Matched,No cue,female,1,327
17,19,right,Familiar-shape_Matched,Alter cue,female,1,428
17,19,right,Familiar-shape_Matched,Alter cue,female,1,289
17,19,right,Familiar-shape_Matched,Alter cue,female,1,337
17,19,right,Self-shape_Mismatched,No cue,female,1,528
17,19,right,Self-shape_Mismatched,No cue,female,1,395
17,19,right,Self-shape_Mismatched,No cue,female,1,435
17,19,right,Self-shape_Matched,No cue,female,1,591
17,19,right,Self-shape_Mismatched,No cue,female,1,411
17,19,right,Self-shape_Matched,Alter cue,female,1,437
17,19,right,Self-shape_Matched,Alter cue,female,1,345
17,19,right,Self-shape_Mismatched,Alter cue,female,1,440
17,19,right,Familiar-shape_Matched,No cue,female,1,498
17,19,right,Self-shape_Mismatched,No cue,female,1,615
17,19,right,Self-shape_Matched,No cue,female,1,390
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,743
17,19,right,Self-shape_Mismatched,Alter cue,female,0,629
17,19,right,Self-shape_Matched,Alter cue,female,1,501
17,19,right,Self-shape_Matched,Alter cue,female,1,571
17,19,right,Self-shape_Mismatched,Alter cue,female,1,456
17,19,right,Self-shape_Matched,Alter cue,female,1,362
17,19,right,Self-shape_Mismatched,Alter cue,female,1,362
17,19,right,Self-shape_Mismatched,Alter cue,female,1,480
17,19,right,Self-shape_Mismatched,Alter cue,female,0,536
17,19,right,Self-shape_Mismatched,Alter cue,female,1,466
17,19,right,Familiar-shape_Mismatched,No cue,female,0,398
17,19,right,Familiar-shape_Matched,Alter cue,female,0,763
17,19,right,Familiar-shape_Matched,Alter cue,female,1,689
17,19,right,Self-shape_Mismatched,Alter cue,female,1,606
17,19,right,Self-shape_Mismatched,No cue,female,0,645
17,19,right,Self-shape_Matched,No cue,female,1,543
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,552
17,19,right,Familiar-shape_Mismatched,Alter cue,female,0,568
17,19,right,Self-shape_Mismatched,Alter cue,female,0,691
17,19,right,Familiar-shape_Matched,No cue,female,1,736
17,19,right,Self-shape_Mismatched,No cue,female,1,761
17,19,right,Familiar-shape_Matched,Alter cue,female,1,825
17,19,right,Self-shape_Mismatched,Alter cue,female,1,730
17,19,right,Self-shape_Matched,No cue,female,1,704
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,554
17,19,right,Self-shape_Mismatched,No cue,female,1,837
17,19,right,Self-shape_Matched,Alter cue,female,1,610
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,562
17,19,right,Self-shape_Matched,No cue,female,1,867
17,19,right,Self-shape_Matched,No cue,female,1,348
17,19,right,Self-shape_Matched,Alter cue,female,1,301
17,19,right,Self-shape_Mismatched,No cue,female,1,452
17,19,right,Familiar-shape_Matched,No cue,female,1,554
17,19,right,Familiar-shape_Mismatched,No cue,female,1,492
17,19,right,Self-shape_Mismatched,No cue,female,1,913
17,19,right,Self-shape_Mismatched,Alter cue,female,1,502
17,19,right,Self-shape_Mismatched,No cue,female,1,488
17,19,right,Familiar-shape_Mismatched,No cue,female,0,585
17,19,right,Self-shape_Matched,No cue,female,1,427
17,19,right,Familiar-shape_Matched,No cue,female,0,572
17,19,right,Self-shape_Matched,Alter cue,female,1,570
17,19,right,Self-shape_Matched,No cue,female,1,427
17,19,right,Self-shape_Matched,No cue,female,1,265
17,19,right,Familiar-shape_Matched,No cue,female,1,499
17,19,right,Self-shape_Matched,No cue,female,1,491
17,19,right,Familiar-shape_Matched,Alter cue,female,1,514
17,19,right,Self-shape_Mismatched,Alter cue,female,0,273
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,499
17,19,right,Familiar-shape_Mismatched,No cue,female,1,544
17,19,right,Familiar-shape_Mismatched,No cue,female,1,235
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,230
17,19,right,Familiar-shape_Matched,No cue,female,0,227
17,19,right,Familiar-shape_Mismatched,Alter cue,female,0,546
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,555
17,19,right,Self-shape_Mismatched,Alter cue,female,0,421
17,19,right,Familiar-shape_Matched,No cue,female,1,899
17,19,right,Familiar-shape_Mismatched,No cue,female,1,576
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,309
17,19,right,Self-shape_Mismatched,No cue,female,1,521
17,19,right,Familiar-shape_Mismatched,No cue,female,1,547
17,19,right,Familiar-shape_Matched,No cue,female,0,260
17,19,right,Self-shape_Matched,Alter cue,female,1,499
17,19,right,Familiar-shape_Matched,Alter cue,female,0,359
17,19,right,Familiar-shape_Matched,Alter cue,female,1,732
17,19,right,Self-shape_Mismatched,No cue,female,1,688
17,19,right,Self-shape_Mismatched,Alter cue,female,1,800
17,19,right,Self-shape_Mismatched,No cue,female,1,456
17,19,right,Familiar-shape_Mismatched,No cue,female,1,470
17,19,right,Familiar-shape_Mismatched,No cue,female,1,488
17,19,right,Familiar-shape_Matched,Alter cue,female,1,457
17,19,right,Self-shape_Mismatched,Alter cue,female,0,748
17,19,right,Familiar-shape_Matched,No cue,female,0,613
17,19,right,Familiar-shape_Matched,No cue,female,1,345
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,376
17,19,right,Self-shape_Matched,No cue,female,0,754
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,541
17,19,right,Self-shape_Matched,Alter cue,female,1,712
17,19,right,Familiar-shape_Matched,Alter cue,female,1,943
17,19,right,Self-shape_Matched,Alter cue,female,1,638
17,19,right,Familiar-shape_Mismatched,No cue,female,1,689
17,19,right,Self-shape_Matched,No cue,female,1,574
17,19,right,Self-shape_Matched,No cue,female,1,496
17,19,right,Familiar-shape_Mismatched,No cue,female,1,695
17,19,right,Self-shape_Matched,No cue,female,1,448
17,19,right,Self-shape_Matched,Alter cue,female,1,674
17,19,right,Familiar-shape_Mismatched,No cue,female,1,416
17,19,right,Self-shape_Mismatched,No cue,female,0,267
17,19,right,Familiar-shape_Matched,No cue,female,1,794
17,19,right,Familiar-shape_Mismatched,Alter cue,female,1,674
17,19,right,Self-shape_Matched,Alter cue,female,1,500
17,19,right,Self-shape_Mismatched,No cue,female,1,720
17,19,right,Self-shape_Mismatched,Alter cue,female,0,657
17,19,right,Self-shape_Mismatched,Alter cue,female,1,334
18,18,right,Self-shape_Mismatched,Alter cue,female,1,605
18,18,right,Self-shape_Matched,Alter cue,female,1,311
18,18,right,Self-shape_Mismatched,No cue,female,1,641
18,18,right,Self-shape_Matched,No cue,female,1,462
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,561
18,18,right,Self-shape_Matched,No cue,female,1,477
18,18,right,Familiar-shape_Matched,Alter cue,female,0,704
18,18,right,Self-shape_Mismatched,No cue,female,0,767
18,18,right,Self-shape_Mismatched,No cue,female,1,967
18,18,right,Self-shape_Mismatched,Alter cue,female,0,723
18,18,right,Familiar-shape_Matched,Alter cue,female,0,982
18,18,right,Self-shape_Matched,No cue,female,1,360
18,18,right,Familiar-shape_Mismatched,No cue,female,1,599
18,18,right,Self-shape_Mismatched,No cue,female,1,621
18,18,right,Familiar-shape_Matched,No cue,female,1,616
18,18,right,Familiar-shape_Mismatched,No cue,female,1,584
18,18,right,Self-shape_Matched,No cue,female,1,385
18,18,right,Self-shape_Mismatched,No cue,female,1,632
18,18,right,Familiar-shape_Matched,Alter cue,female,1,621
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,411
18,18,right,Self-shape_Mismatched,No cue,female,1,629
18,18,right,Familiar-shape_Mismatched,No cue,female,0,760
18,18,right,Familiar-shape_Matched,Alter cue,female,1,676
18,18,right,Familiar-shape_Mismatched,No cue,female,1,453
18,18,right,Familiar-shape_Matched,No cue,female,0,720
18,18,right,Self-shape_Mismatched,No cue,female,1,711
18,18,right,Self-shape_Mismatched,Alter cue,female,1,670
18,18,right,Familiar-shape_Mismatched,No cue,female,1,416
18,18,right,Familiar-shape_Mismatched,No cue,female,1,426
18,18,right,Self-shape_Mismatched,No cue,female,0,795
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,578
18,18,right,Self-shape_Mismatched,No cue,female,1,598
18,18,right,Familiar-shape_Matched,Alter cue,female,0,704
18,18,right,Familiar-shape_Matched,No cue,female,1,740
18,18,right,Familiar-shape_Matched,No cue,female,1,670
18,18,right,Self-shape_Matched,No cue,female,1,619
18,18,right,Self-shape_Matched,Alter cue,female,1,486
18,18,right,Self-shape_Matched,Alter cue,female,1,308
18,18,right,Familiar-shape_Mismatched,No cue,female,0,593
18,18,right,Self-shape_Matched,No cue,female,1,428
18,18,right,Familiar-shape_Mismatched,No cue,female,1,589
18,18,right,Self-shape_Matched,No cue,female,1,496
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,505
18,18,right,Familiar-shape_Mismatched,No cue,female,1,652
18,18,right,Self-shape_Matched,No cue,female,1,478
18,18,right,Self-shape_Mismatched,Alter cue,female,1,523
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,976
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,372
18,18,right,Self-shape_Mismatched,Alter cue,female,0,627
18,18,right,Familiar-shape_Matched,Alter cue,female,1,828
18,18,right,Self-shape_Matched,No cue,female,1,444
18,18,right,Self-shape_Matched,No cue,female,1,297
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,456
18,18,right,Self-shape_Matched,No cue,female,1,488
18,18,right,Familiar-shape_Mismatched,No cue,female,1,505
18,18,right,Self-shape_Matched,Alter cue,female,1,357
18,18,right,Familiar-shape_Matched,Alter cue,female,0,459
18,18,right,Familiar-shape_Matched,No cue,female,1,805
18,18,right,Self-shape_Mismatched,Alter cue,female,1,428
18,18,right,Familiar-shape_Matched,Alter cue,female,1,729
18,18,right,Familiar-shape_Matched,No cue,female,1,482
18,18,right,Familiar-shape_Mismatched,No cue,female,1,470
18,18,right,Self-shape_Mismatched,No cue,female,0,520
18,18,right,Self-shape_Mismatched,Alter cue,female,1,573
18,18,right,Familiar-shape_Matched,Alter cue,female,1,499
18,18,right,Self-shape_Matched,Alter cue,female,1,312
18,18,right,Familiar-shape_Matched,Alter cue,female,0,437
18,18,right,Self-shape_Matched,Alter cue,female,1,320
18,18,right,Self-shape_Mismatched,No cue,female,1,409
18,18,right,Self-shape_Matched,No cue,female,1,340
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,470
18,18,right,Self-shape_Matched,Alter cue,female,1,309
18,18,right,Familiar-shape_Matched,No cue,female,0,407
18,18,right,Self-shape_Mismatched,Alter cue,female,1,531
18,18,right,Familiar-shape_Mismatched,No cue,female,0,926
18,18,right,Self-shape_Mismatched,No cue,female,1,800
18,18,right,Familiar-shape_Matched,Alter cue,female,0,440
18,18,right,Self-shape_Mismatched,No cue,female,0,675
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,836
18,18,right,Self-shape_Mismatched,Alter cue,female,1,523
18,18,right,Self-shape_Mismatched,No cue,female,1,632
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,374
18,18,right,Familiar-shape_Mismatched,No cue,female,1,441
18,18,right,Familiar-shape_Matched,Alter cue,female,1,741
18,18,right,Self-shape_Mismatched,No cue,female,1,508
18,18,right,Self-shape_Mismatched,Alter cue,female,1,589
18,18,right,Self-shape_Matched,Alter cue,female,1,507
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,921
18,18,right,Self-shape_Mismatched,Alter cue,female,1,701
18,18,right,Familiar-shape_Mismatched,No cue,female,1,708
18,18,right,Familiar-shape_Mismatched,No cue,female,1,658
18,18,right,Self-shape_Mismatched,Alter cue,female,1,492
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,423
18,18,right,Self-shape_Matched,No cue,female,1,318
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,449
18,18,right,Self-shape_Matched,Alter cue,female,1,364
18,18,right,Familiar-shape_Matched,No cue,female,0,317
18,18,right,Familiar-shape_Matched,Alter cue,female,0,517
18,18,right,Self-shape_Matched,No cue,female,1,407
18,18,right,Self-shape_Mismatched,Alter cue,female,1,501
18,18,right,Familiar-shape_Matched,No cue,female,1,709
18,18,right,Self-shape_Matched,Alter cue,female,1,439
18,18,right,Self-shape_Mismatched,No cue,female,1,467
18,18,right,Familiar-shape_Matched,No cue,female,1,780
18,18,right,Self-shape_Matched,Alter cue,female,1,385
18,18,right,Self-shape_Matched,Alter cue,female,1,468
18,18,right,Self-shape_Mismatched,Alter cue,female,1,532
18,18,right,Self-shape_Matched,Alter cue,female,1,276
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,313
18,18,right,Familiar-shape_Mismatched,No cue,female,1,615
18,18,right,Self-shape_Matched,Alter cue,female,1,390
18,18,right,Familiar-shape_Matched,No cue,female,0,316
18,18,right,Familiar-shape_Mismatched,No cue,female,1,546
18,18,right,Familiar-shape_Matched,No cue,female,1,640
18,18,right,Self-shape_Mismatched,No cue,female,1,710
18,18,right,Self-shape_Matched,Alter cue,female,1,297
18,18,right,Self-shape_Mismatched,No cue,female,1,503
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,508
18,18,right,Familiar-shape_Mismatched,No cue,female,0,887
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,570
18,18,right,Familiar-shape_Matched,No cue,female,1,659
18,18,right,Self-shape_Mismatched,Alter cue,female,1,521
18,18,right,Self-shape_Matched,Alter cue,female,1,328
18,18,right,Familiar-shape_Matched,Alter cue,female,0,423
18,18,right,Familiar-shape_Matched,Alter cue,female,1,406
18,18,right,Self-shape_Mismatched,No cue,female,1,436
18,18,right,Familiar-shape_Matched,Alter cue,female,1,663
18,18,right,Familiar-shape_Mismatched,No cue,female,1,540
18,18,right,Familiar-shape_Matched,Alter cue,female,1,790
18,18,right,Self-shape_Matched,No cue,female,1,645
18,18,right,Self-shape_Mismatched,No cue,female,1,573
18,18,right,Self-shape_Mismatched,No cue,female,0,565
18,18,right,Self-shape_Matched,Alter cue,female,1,465
18,18,right,Self-shape_Matched,No cue,female,1,490
18,18,right,Familiar-shape_Matched,No cue,female,0,458
18,18,right,Self-shape_Matched,No cue,female,1,424
18,18,right,Familiar-shape_Mismatched,No cue,female,1,495
18,18,right,Familiar-shape_Matched,No cue,female,1,754
18,18,right,Self-shape_Matched,No cue,female,1,473
18,18,right,Self-shape_Matched,Alter cue,female,0,592
18,18,right,Familiar-shape_Matched,Alter cue,female,1,579
18,18,right,Self-shape_Matched,Alter cue,female,1,552
18,18,right,Familiar-shape_Matched,No cue,female,1,474
18,18,right,Familiar-shape_Mismatched,No cue,female,1,500
18,18,right,Familiar-shape_Mismatched,No cue,female,1,642
18,18,right,Self-shape_Matched,Alter cue,female,1,536
18,18,right,Familiar-shape_Matched,No cue,female,1,737
18,18,right,Familiar-shape_Mismatched,No cue,female,1,610
18,18,right,Self-shape_Mismatched,No cue,female,1,584
18,18,right,Self-shape_Mismatched,Alter cue,female,0,755
18,18,right,Self-shape_Matched,Alter cue,female,1,433
18,18,right,Familiar-shape_Mismatched,No cue,female,0,502
18,18,right,Familiar-shape_Matched,No cue,female,1,692
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,539
18,18,right,Self-shape_Mismatched,No cue,female,1,778
18,18,right,Self-shape_Matched,No cue,female,1,808
18,18,right,Self-shape_Mismatched,Alter cue,female,1,526
18,18,right,Familiar-shape_Mismatched,No cue,female,1,984
18,18,right,Self-shape_Mismatched,Alter cue,female,1,603
18,18,right,Familiar-shape_Matched,Alter cue,female,1,572
18,18,right,Self-shape_Matched,No cue,female,0,707
18,18,right,Self-shape_Mismatched,Alter cue,female,1,638
18,18,right,Self-shape_Matched,No cue,female,1,375
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,591
18,18,right,Self-shape_Matched,Alter cue,female,1,457
18,18,right,Familiar-shape_Matched,No cue,female,1,689
18,18,right,Familiar-shape_Matched,Alter cue,female,1,941
18,18,right,Familiar-shape_Matched,No cue,female,1,641
18,18,right,Self-shape_Matched,No cue,female,0,403
18,18,right,Familiar-shape_Matched,No cue,female,0,519
18,18,right,Self-shape_Matched,No cue,female,1,519
18,18,right,Self-shape_Mismatched,Alter cue,female,1,852
18,18,right,Familiar-shape_Matched,Alter cue,female,1,684
18,18,right,Familiar-shape_Matched,No cue,female,1,636
18,18,right,Familiar-shape_Matched,Alter cue,female,0,630
18,18,right,Self-shape_Mismatched,Alter cue,female,1,735
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,627
18,18,right,Self-shape_Matched,No cue,female,1,534
18,18,right,Self-shape_Matched,Alter cue,female,1,459
18,18,right,Self-shape_Mismatched,Alter cue,female,1,622
18,18,right,Familiar-shape_Matched,Alter cue,female,1,680
18,18,right,Self-shape_Mismatched,Alter cue,female,1,667
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,515
18,18,right,Self-shape_Mismatched,Alter cue,female,0,461
18,18,right,Self-shape_Matched,No cue,female,1,484
18,18,right,Self-shape_Mismatched,No cue,female,1,567
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,737
18,18,right,Familiar-shape_Mismatched,Alter cue,female,1,560
18,18,right,Familiar-shape_Matched,Alter cue,female,1,520
18,18,right,Self-shape_Mismatched,Alter cue,female,1,882
18,18,right,Self-shape_Matched,Alter cue,female,1,635
18,18,right,Familiar-shape_Matched,Alter cue,female,1,771
18,18,right,Self-shape_Mismatched,No cue,female,1,574
18,18,right,Self-shape_Matched,Alter cue,female,1,491
2,20,right,Self-shape_Matched,No cue,female,1,658
2,20,right,Self-shape_Mismatched,Alter cue,female,1,890
2,20,right,Familiar-shape_Matched,Alter cue,female,0,570
2,20,right,Familiar-shape_Mismatched,No cue,female,1,656
2,20,right,Self-shape_Mismatched,No cue,female,1,768
2,20,right,Familiar-shape_Matched,No cue,female,0,741
2,20,right,Familiar-shape_Mismatched,No cue,female,1,670
2,20,right,Familiar-shape_Matched,Alter cue,female,1,673
2,20,right,Self-shape_Mismatched,No cue,female,1,631
2,20,right,Familiar-shape_Mismatched,No cue,female,1,637
2,20,right,Familiar-shape_Matched,Alter cue,female,1,761
2,20,right,Self-shape_Matched,Alter cue,female,1,584
2,20,right,Self-shape_Matched,No cue,female,1,548
2,20,right,Familiar-shape_Mismatched,No cue,female,1,626
2,20,right,Familiar-shape_Mismatched,No cue,female,1,644
2,20,right,Self-shape_Mismatched,Alter cue,female,0,805
2,20,right,Familiar-shape_Mismatched,Alter cue,female,1,738
2,20,right,Familiar-shape_Matched,No cue,female,1,726
2,20,right,Self-shape_Mismatched,Alter cue,female,1,784
2,20,right,Familiar-shape_Mismatched,No cue,female,1,725
2,20,right,Self-shape_Mismatched,Alter cue,female,1,713
2,20,right,Self-shape_Matched,No cue,female,1,620
2,20,right,Self-shape_Matched,Alter cue,female,1,597
2,20,right,Familiar-shape_Matched,No cue,female,0,612
2,20,right,Self-shape_Matched,Alter cue,female,1,775
2,20,right,Self-shape_Mismatched,Alter cue,female,1,626
2,20,right,Self-shape_Matched,Alter cue,female,1,543
2,20,right,Familiar-shape_Mismatched,No cue,female,1,843
2,20,right,Familiar-shape_Matched,Alter cue,female,0,784
2,20,right,Familiar-shape_Mismatched,Alter cue,female,0,782
2,20,right,Familiar-shape_Matched,Alter cue,female,1,626
2,20,right,Familiar-shape_Matched,Alter cue,female,1,706
2,20,right,Self-shape_Mismatched,Alter cue,female,1,557
2,20,right,Familiar-shape_Mismatched,Alter cue,female,1,985
2,20,right,Familiar-shape_Mismatched,Alter cue,female,1,658
2,20,right,Self-shape_Mismatched,Alter cue,female,1,591
2,20,right,Familiar-shape_Matched,Alter cue,female,1,689
2,20,right,Familiar-shape_Mismatched,No cue,female,1,599
2,20,right,Self-shape_Mismatched,Alter cue,female,1,627
2,20,right,Self-shape_Mismatched,No cue,female,1,604
2,20,right,Familiar-shape_Mismatched,No cue,female,1,547
2,20,right,Familiar-shape_Mismatched,No cue,female,1,650
2,20,right,Self-shape_Matched,No cue,female,1,689
2,20,right,Familiar-shape_Mismatched,Alter cue,female,1,687
2,20,right,Familiar-shape_Matched,No cue,female,1,702
2,20,right,Self-shape_Mismatched,Alter cue,female,1,636
2,20,right,Self-shape_Mismatched,Alter cue,female,1,666
2,20,right,Familiar-shape_Mismatched,No cue,female,1,715
2,20,right,Familiar-shape_Matched,Alter cue,female,1,679
2,20,right,Self-shape_Matched,No cue,female,1,611
2,20,right,Self-shape_Mismatched,No cue,female,1,591
2,20,right,Self-shape_Matched,Alter cue,female,1,887
2,20,right,Familiar-shape_Matched,No cue,female,1,521
2,20,right,Self-shape_Mismatched,Alter cue,female,1,823
2,20,right,Familiar-shape_Matched,No cue,female,1,674
2,20,right,Self-shape_Matched,No cue,female,1,605
2,20,right,Self-shape_Mismatched,Alter cue,female,0,633
2,20,right,Familiar-shape_Matched,No cue,female,1,608
2,20,right,Familiar-shape_Matched,No cue,female,1,824
2,20,right,Self-shape_Matched,No cue,female,1,604
2,20,right,Familiar-shape_Matched,Alter cue,female,1,698
2,20,right,Self-shape_Matched,No cue,female,1,594
2,20,right,Familiar-shape_Matched,No cue,female,1,571
