Subject,Age,Handedness,condition1correct,condition1level,Sex,respond3.ACC,respond3.RT
1,19,right,Self-shape_Matched,No cue,female,1,447
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,351
1,19,right,Self-shape_Matched,No cue,female,0,402
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,366
1,19,right,Familiar-shape_Mismatched,No cue,female,1,543
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,532
1,19,right,Familiar-shape_Matched,No cue,female,1,572
1,19,right,Self-shape_Matched,Alter cue,female,0,407
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,397
1,19,right,Familiar-shape_Mismatched,No cue,female,1,422
1,19,right,Self-shape_Matched,Alter cue,female,1,382
1,19,right,Self-shape_Mismatched,Alter cue,female,1,843
1,19,right,Familiar-shape_Matched,No cue,female,0,630
1,19,right,Self-shape_Mismatched,Alter cue,female,1,447
1,19,right,Familiar-shape_Mismatched,No cue,female,0,412
1,19,right,Self-shape_Matched,Alter cue,female,1,579
1,19,right,Self-shape_Mismatched,No cue,female,1,427
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,463
1,19,right,Familiar-shape_Matched,Alter cue,female,0,374
1,19,right,Familiar-shape_Matched,No cue,female,1,420
1,19,right,Self-shape_Matched,Alter cue,female,1,276
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,410
1,19,right,Self-shape_Matched,No cue,female,1,323
1,19,right,Self-shape_Matched,No cue,female,1,372
1,19,right,Self-shape_Mismatched,No cue,female,1,534
1,19,right,Self-shape_Mismatched,Alter cue,female,0,471
1,19,right,Familiar-shape_Mismatched,Alter cue,female,0,645
1,19,right,Familiar-shape_Matched,No cue,female,0,883
1,19,right,Self-shape_Mismatched,Alter cue,female,1,847
1,19,right,Self-shape_Matched,No cue,female,1,416
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,702
1,19,right,Self-shape_Mismatched,No cue,female,0,675
1,19,right,Self-shape_Matched,Alter cue,female,1,423
1,19,right,Self-shape_Matched,No cue,female,1,536
1,19,right,Self-shape_Matched,No cue,female,1,455
1,19,right,Familiar-shape_Matched,No cue,female,0,450
1,19,right,Self-shape_Matched,No cue,female,0,518
1,19,right,Self-shape_Mismatched,No cue,female,1,518
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,747
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,565
1,19,right,Self-shape_Mismatched,Alter cue,female,0,434
1,19,right,Self-shape_Matched,No cue,female,1,357
1,19,right,Self-shape_Mismatched,Alter cue,female,1,539
1,19,right,Self-shape_Matched,Alter cue,female,1,512
1,19,right,Self-shape_Mismatched,No cue,female,1,655
1,19,right,Self-shape_Mismatched,No cue,female,1,788
1,19,right,Familiar-shape_Matched,Alter cue,female,0,618
1,19,right,Self-shape_Matched,No cue,female,1,557
1,19,right,Self-shape_Matched,Alter cue,female,1,808
1,19,right,Self-shape_Matched,Alter cue,female,1,610
1,19,right,Familiar-shape_Matched,No cue,female,0,902
1,19,right,Self-shape_Matched,Alter cue,female,1,562
1,19,right,Familiar-shape_Matched,Alter cue,female,1,714
1,19,right,Self-shape_Matched,No cue,female,1,466
1,19,right,Self-shape_Matched,Alter cue,female,1,550
1,19,right,Self-shape_Mismatched,Alter cue,female,1,498
1,19,right,Familiar-shape_Matched,Alter cue,female,0,803
1,19,right,Familiar-shape_Matched,Alter cue,female,1,624
1,19,right,Familiar-shape_Matched,Alter cue,female,1,334
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,472
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,533
1,19,right,Self-shape_Matched,Alter cue,female,1,362
1,19,right,Familiar-shape_Matched,Alter cue,female,0,435
1,19,right,Familiar-shape_Matched,No cue,female,1,476
1,19,right,Self-shape_Mismatched,Alter cue,female,1,478
1,19,right,Familiar-shape_Matched,Alter cue,female,1,712
1,19,right,Self-shape_Matched,Alter cue,female,1,537
1,19,right,Familiar-shape_Matched,No cue,female,1,563
1,19,right,Self-shape_Mismatched,No cue,female,1,710
1,19,right,Familiar-shape_Mismatched,Alter cue,female,0,420
1,19,right,Self-shape_Matched,Alter cue,female,1,291
1,19,right,Self-shape_Matched,No cue,female,1,367
1,19,right,Self-shape_Matched,Alter cue,female,1,369
1,19,right,Familiar-shape_Mismatched,No cue,female,1,509
1,19,right,Self-shape_Matched,Alter cue,female,1,453
1,19,right,Self-shape_Mismatched,Alter cue,female,1,524
1,19,right,Self-shape_Matched,No cue,female,1,399
1,19,right,Self-shape_Mismatched,No cue,female,1,458
1,19,right,Familiar-shape_Mismatched,No cue,female,1,585
1,19,right,Familiar-shape_Matched,No cue,female,1,597
1,19,right,Self-shape_Mismatched,Alter cue,female,1,508
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,584
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,473
1,19,right,Familiar-shape_Matched,No cue,female,1,480
1,19,right,Self-shape_Mismatched,Alter cue,female,1,679
1,19,right,Familiar-shape_Mismatched,No cue,female,1,510
1,19,right,Self-shape_Mismatched,Alter cue,female,1,569
1,19,right,Familiar-shape_Matched,Alter cue,female,0,377
1,19,right,Self-shape_Mismatched,No cue,female,1,603
