Participant #,Trial Type,Expectancy,Shape Association,Target Accuracy,Response Time
10,Nonmatching,Self,Friend,1,693
10,Matching,Self,Self,0,365
10,Matching,Self,Self,1,369
10,Matching,Self,Self,1,439
10,Nonmatching,Self,Self,1,625
10,Nonmatching,Self,Friend,1,916
10,Matching,Self,Self,1,568
10,Matching,Self,Self,1,456
10,Matching,Self,Friend,0,569
10,Matching,Self,Self,1,414
10,Nonmatching,Self,Self,1,979
10,Nonmatching,Self,Friend,0,416
10,Matching,Self,Self,1,453
10,Nonmatching,Self,Self,0,470
10,Matching,Self,Self,0,302
10,Nonmatching,Self,Self,1,328
10,Nonmatching,Self,Friend,0,347
10,Nonmatching,Self,Self,1,281
10,Matching,Self,Self,1,219
10,Nonmatching,Self,Self,1,296
10,Nonmatching,Self,Friend,0,233
10,Matching,Self,Friend,0,284
10,Nonmatching,Self,Self,0,256
10,Nonmatching,Self,Self,0,530
10,Nonmatching,Self,Self,0,407
10,Matching,Self,Self,1,666
10,Matching,Self,Self,1,514
10,Nonmatching,Self,Self,0,493
10,Matching,Self,Friend,1,386
10,Nonmatching,Self,Self,1,493
10,Nonmatching,Self,Self,1,451
10,Matching,Self,Self,1,651
10,Matching,Self,Self,0,655
10,Matching,Self,Friend,0,931
10,Nonmatching,Self,Self,0,749
10,Nonmatching,Self,Friend,1,394
10,Nonmatching,Self,Self,1,744
10,Nonmatching,Self,Self,1,501
10,Matching,Self,Self,1,493
10,Matching,Self,Self,1,501
10,Matching,Self,Self,1,390
10,Matching,Self,Self,1,356
10,Matching,Self,Self,1,251
10,Nonmatching,Self,Self,1,486
10,Matching,Self,Self,1,353
10,Nonmatching,Self,Self,1,383
10,Nonmatching,Self,Self,0,290
10,Nonmatching,Self,Friend,1,381
10,Matching,Self,Friend,0,862
10,Nonmatching,Self,Friend,0,474
10,Matching,Self,Self,0,615
10,Matching,Self,Self,1,497
10,Matching,Self,Friend,1,261
10,Nonmatching,Self,Friend,0,520
10,Nonmatching,Self,Self,0,587
10,Matching,Self,Self,1,579
10,Nonmatching,Self,Self,1,392
10,Nonmatching,Self,Self,0,320
10,Nonmatching,Self,Friend,0,504
10,Nonmatching,Self,Self,1,656
10,Matching,Self,Self,1,581
10,Nonmatching,Self,Self,1,794
10,Matching,Self,Self,1,755
10,Matching,Self,Self,1,369
10,Nonmatching,Self,Self,1,536
10,Matching,Self,Self,1,665
10,Matching,Self,Self,1,593
10,Nonmatching,Self,Self,1,853
10,Matching,Self,Friend,0,715
10,Nonmatching,Self,Self,0,729
10,Matching,Self,Self,1,609
10,Matching,Self,Self,1,631
10,Nonmatching,Self,Friend,1,888
10,Nonmatching,Self,Self,1,939
10,Matching,Self,Self,1,582
10,Matching,Self,Self,1,644
10,Matching,Self,Self,1,573
10,Matching,Self,Self,1,479
10,Nonmatching,Self,Self,1,610
10,Nonmatching,Self,Self,1,770
10,Nonmatching,Self,Self,1,604
10,Matching,Self,Friend,1,798
10,Nonmatching,Self,Self,1,924
10,Nonmatching,Self,Friend,0,485
10,Matching,Self,Self,1,661
10,Matching,Self,Friend,0,480
10,Nonmatching,Self,Self,0,519
10,Matching,Self,Self,1,746
10,Nonmatching,Self,Self,1,684
10,Matching,Self,Self,1,693
10,Matching,Self,Self,1,719
10,Matching,Self,Self,1,457
10,Nonmatching,Self,Self,0,407
10,Nonmatching,Self,Self,0,500
10,Matching,Self,Self,1,389
10,Nonmatching,Self,Self,0,646
10,Nonmatching,Self,Self,1,379
10,Matching,Self,Self,1,1021
10,Matching,Self,Friend,0,503
10,Matching,Self,Self,1,820
10,Nonmatching,Self,Self,0,202
10,Nonmatching,Self,Self,1,551
10,Nonmatching,Self,Friend,0,748
10,Matching,Self,Self,1,598
10,Nonmatching,Self,Self,1,673
10,Nonmatching,Self,Self,1,480
10,Matching,Self,Friend,0,497
10,Matching,Self,Friend,1,620
10,Matching,Self,Self,0,708
10,Matching,Self,Friend,0,964
10,Nonmatching,Self,Self,0,534
10,Matching,Self,Self,1,522
10,Matching,Self,Self,1,501
10,Nonmatching,Self,Self,1,1197
10,Nonmatching,Self,Friend,1,1180
10,Matching,Self,Friend,1,939
10,Nonmatching,Self,Friend,1,809
10,Matching,Self,Self,1,634
10,Nonmatching,Self,Self,0,1195
10,Matching,Self,Self,1,842
10,Nonmatching,Self,Self,1,987
10,Matching,Self,Friend,1,999
10,Matching,Self,Self,1,890
10,Matching,Self,Friend,0,730
10,Matching,Self,Self,1,630
10,Nonmatching,Self,Self,1,800
10,Nonmatching,Self,Friend,0,1135
10,Matching,Self,Self,1,952
10,Nonmatching,Self,Friend,1,883
10,Matching,Self,Self,1,745
10,Nonmatching,Self,Friend,1,1079
10,Nonmatching,Self,Self,1,1051
10,Nonmatching,Self,Self,1,669
10,Matching,Self,Self,1,639
10,Nonmatching,Self,Self,1,637
10,Nonmatching,Self,Self,1,570
10,Matching,Self,Self,1,383
10,Nonmatching,Self,Self,0,658
10,Matching,Self,Self,0,489
10,Matching,Self,Self,1,626
10,Matching,Self,Friend,0,979
10,Matching,Self,Self,1,742
10,Nonmatching,Self,Self,1,798
10,Matching,Self,Self,1,313
10,Nonmatching,Self,Self,0,509
10,Matching,Self,Self,1,483
10,Nonmatching,Self,Self,1,791
10,Nonmatching,Self,Friend,0,612
10,Nonmatching,Self,Self,0,392
10,Matching,Self,Self,1,381
10,Nonmatching,Self,Self,0,679
10,Nonmatching,Self,Self,1,833
10,Nonmatching,Self,Self,1,741
10,Nonmatching,Self,Self,1,865
10,Matching,Self,Self,1,634
10,Matching,Self,Self,1,664
10,Matching,Self,Self,1,490
10,Nonmatching,Self,Friend,1,679
10,Nonmatching,Self,Self,0,887
10,Nonmatching,Self,Self,1,510
10,Matching,Self,Friend,0,449
10,Matching,Self,Self,1,871
10,Matching,Self,Self,0,431
10,Matching,Self,Friend,0,839
10,Matching,Self,Self,1,548
10,Matching,Self,Self,1,391
10,Matching,Self,Self,1,385
10,Nonmatching,Self,Friend,1,1000
10,Matching,Self,Self,1,779
10,Matching,Self,Friend,1,1104
10,Nonmatching,Self,Self,0,506
10,Nonmatching,Self,Self,0,377
10,Matching,Self,Self,1,422
10,Matching,Self,Self,1,359
10,Nonmatching,Self,Friend,0,338
10,Nonmatching,Self,Self,1,400
10,Matching,Self,Self,1,522
10,Nonmatching,Self,Self,1,850
10,Nonmatching,Self,Friend,0,829
10,Nonmatching,Self,Self,1,415
10,Matching,Self,Self,0,231
10,Nonmatching,Self,Self,1,247
10,Nonmatching,Friend,Friend,1,605
10,Nonmatching,Friend,Self,1,565
10,Matching,Friend,Friend,0,490
10,Nonmatching,Friend,Friend,0,491
10,Nonmatching,Friend,Self,1,419
10,Nonmatching,Friend,Friend,1,919
10,Nonmatching,Friend,Self,1,797
10,Matching,Friend,Friend,0,446
10,Matching,Friend,Friend,0,465
10,Matching,Friend,Friend,1,292
10,Matching,Friend,Friend,1,359
10,Nonmatching,Friend,Friend,0,675
10,Matching,Friend,Self,1,606
10,Matching,Friend,Friend,0,514
10,Matching,Friend,Friend,1,480
10,Matching,Friend,Friend,1,306
10,Matching,Friend,Friend,1,312
10,Matching,Friend,Self,1,586
10,Matching,Friend,Friend,1,552
10,Matching,Friend,Friend,1,395
10,Matching,Friend,Friend,1,343
10,Nonmatching,Friend,Self,0,278
10,Matching,Friend,Friend,1,650
10,Nonmatching,Friend,Friend,1,812
10,Nonmatching,Friend,Self,1,694
10,Nonmatching,Friend,Friend,1,1160
10,Nonmatching,Friend,Friend,1,690
10,Nonmatching,Friend,Friend,1,360
10,Nonmatching,Friend,Self,1,1034
10,Matching,Friend,Friend,0,788
10,Nonmatching,Friend,Friend,1,810
10,Nonmatching,Friend,Friend,1,596
10,Matching,Friend,Friend,1,531
10,Matching,Friend,Friend,1,530
10,Nonmatching,Friend,Friend,1,482
10,Matching,Friend,Friend,1,553
10,Matching,Friend,Friend,1,751
10,Matching,Friend,Self,1,698
10,Matching,Friend,Self,1,357
10,Matching,Friend,Friend,0,508
10,Nonmatching,Friend,Friend,1,955
10,Nonmatching,Friend,Friend,1,430
10,Nonmatching,Friend,Friend,1,411
10,Nonmatching,Friend,Friend,1,432
10,Matching,Friend,Friend,1,954
10,Nonmatching,Friend,Friend,1,842
10,Nonmatching,Friend,Friend,1,449
10,Matching,Friend,Friend,1,541
10,Nonmatching,Friend,Friend,1,639
10,Matching,Friend,Friend,0,674
10,Matching,Friend,Friend,1,401
10,Nonmatching,Friend,Self,0,293
10,Nonmatching,Friend,Self,1,629
10,Matching,Friend,Friend,0,800
10,Matching,Friend,Friend,1,555
10,Nonmatching,Friend,Friend,1,957
10,Nonmatching,Friend,Friend,1,486
10,Nonmatching,Friend,Friend,1,459
10,Nonmatching,Friend,Self,0,530
10,Nonmatching,Friend,Friend,1,957
10,Matching,Friend,Friend,0,601
10,Nonmatching,Friend,Self,0,1035
10,Matching,Friend,Friend,1,598
10,Nonmatching,Friend,Friend,1,780
10,Nonmatching,Friend,Friend,1,662
10,Nonmatching,Friend,Friend,1,484
10,Nonmatching,Friend,Friend,1,740
10,Matching,Friend,Friend,1,619
10,Nonmatching,Friend,Friend,1,702
10,Matching,Friend,Friend,0,546
10,Matching,Friend,Friend,0,650
10,Nonmatching,Friend,Self,1,911
10,Nonmatching,Friend,Friend,1,822
10,Matching,Friend,Friend,0,430
10,Nonmatching,Friend,Self,1,463
10,Nonmatching,Friend,Friend,1,1082
10,Nonmatching,Friend,Friend,1,593
10,Nonmatching,Friend,Friend,1,754
10,Nonmatching,Friend,Friend,1,902
10,Matching,Friend,Friend,0,581
10,Nonmatching,Friend,Friend,1,763
10,Nonmatching,Friend,Friend,1,589
10,Nonmatching,Friend,Friend,1,440
10,Matching,Friend,Friend,1,588
10,Nonmatching,Friend,Friend,1,582
10,Matching,Friend,Self,1,960
10,Nonmatching,Friend,Friend,0,536
10,Matching,Friend,Friend,1,405
10,Matching,Friend,Friend,1,351
10,Matching,Friend,Friend,1,340
10,Matching,Friend,Friend,1,312
10,Matching,Friend,Friend,1,282
10,Nonmatching,Friend,Friend,0,240
10,Nonmatching,Friend,Self,0,486
10,Nonmatching,Friend,Friend,0,347
10,Matching,Friend,Friend,1,514
10,Nonmatching,Friend,Friend,0,781
10,Nonmatching,Friend,Self,0,655
10,Matching,Friend,Self,0,379
10,Matching,Friend,Friend,0,348
10,Nonmatching,Friend,Friend,1,213
10,Nonmatching,Friend,Friend,1,508
10,Matching,Friend,Self,0,388
10,Matching,Friend,Self,1,565
10,Matching,Friend,Friend,0,548
10,Matching,Friend,Friend,0,522
10,Nonmatching,Friend,Friend,1,862
10,Nonmatching,Friend,Friend,1,736
10,Matching,Friend,Friend,1,692
10,Matching,Friend,Self,1,730
10,Nonmatching,Friend,Friend,1,700
10,Nonmatching,Friend,Friend,1,660
10,Nonmatching,Friend,Friend,1,515
10,Matching,Friend,Friend,1,535
10,Matching,Friend,Friend,1,362
10,Matching,Friend,Self,1,666
10,Matching,Friend,Friend,1,726
10,Nonmatching,Friend,Friend,1,742
10,Nonmatching,Friend,Friend,1,592
10,Matching,Friend,Self,1,617
10,Nonmatching,Friend,Friend,1,754
10,Nonmatching,Friend,Friend,1,660
10,Matching,Friend,Friend,1,1051
10,Matching,Friend,Self,1,776
10,Nonmatching,Friend,Friend,1,679
10,Matching,Friend,Friend,1,653
10,Matching,Friend,Friend,1,442
10,Nonmatching,Friend,Friend,1,772
10,Matching,Friend,Friend,1,989
10,Matching,Friend,Friend,1,523
10,Matching,Friend,Self,1,680
10,Nonmatching,Friend,Friend,1,677
10,Matching,Friend,Friend,1,1155
10,Matching,Friend,Friend,1,451
10,Matching,Friend,Self,1,609
10,Matching,Friend,Friend,1,518
10,Nonmatching,Friend,Friend,0,639
10,Matching,Friend,Friend,0,888
10,Nonmatching,Friend,Friend,1,781
10,Matching,Friend,Friend,0,720
10,Matching,Friend,Self,1,613
10,Nonmatching,Friend,Self,0,436
10,Nonmatching,Friend,Friend,0,888
10,Nonmatching,Friend,Friend,0,767
10,Nonmatching,Friend,Self,0,489
10,Matching,Friend,Self,1,329
10,Nonmatching,Friend,Friend,0,409
10,Matching,Friend,Friend,1,330
10,Nonmatching,Friend,Self,0,265
10,Nonmatching,Friend,Friend,0,320
10,Nonmatching,Friend,Self,0,288
10,Nonmatching,Friend,Self,1,449
10,Matching,Friend,Self,1,644
10,Matching,Friend,Friend,1,796
10,Nonmatching,Friend,Friend,1,596
10,Matching,Friend,Self,1,864
10,Matching,Friend,Self,1,374
10,Nonmatching,Friend,Self,0,546
10,Nonmatching,Friend,Friend,1,961
10,Matching,Friend,Friend,1,854
10,Nonmatching,Friend,Friend,1,632
10,Nonmatching,Friend,Friend,1,721
10,Matching,Friend,Friend,1,956
10,Matching,Friend,Friend,1,437
10,Matching,Friend,Self,1,597
10,Nonmatching,Friend,Friend,1,619
10,Matching,Friend,Self,0,442
10,Matching,Friend,Self,1,635
10,Matching,Friend,Friend,1,741
10,Nonmatching,Friend,Self,0,558
10,Matching,Friend,Friend,1,930
10,Matching,Friend,Friend,1,594
10,Matching,Friend,Friend,1,521
10,Matching,Friend,Friend,1,532
10,Matching,Friend,Self,1,631
10,Matching,Friend,Friend,0,731
10,Nonmatching,Friend,Friend,1,1089
10,Nonmatching,Friend,Friend,1,1189
10,Nonmatching,Friend,Friend,1,546
10,Matching,Friend,Friend,1,903
10,Matching,Friend,Self,1,689
10,Nonmatching,Friend,Friend,1,780
10,Matching,Friend,Friend,1,673
10,Nonmatching,Friend,Friend,0,817
10,Nonmatching,Friend,Self,1,851
16,Nonmatching,Self,Self,1,712
16,Matching,Self,Self,1,523
16,Matching,Self,Self,1,362
16,Nonmatching,Self,Friend,1,411
16,Nonmatching,Self,Self,1,591
16,Nonmatching,Self,Self,1,554
16,Nonmatching,Self,Self,1,410
16,Nonmatching,Self,Friend,1,546
16,Nonmatching,Self,Self,1,467
16,Matching,Self,Friend,0,454
