Participant #,Trial Type,Target Label,Shape Association,Target Accuracy,Reponse Time
16,Nonmatching,YOU,Friend,1,718
16,Matching,FRIEND,Friend,1,705
16,Matching,YOU,Self,1,614
16,Nonmatching,YOU,Friend,1,697
16,Nonmatching,FRIEND,Self,1,892
16,Matching,FRIEND,Friend,1,833
16,Matching,FRIEND,Friend,1,871
16,Nonmatching,FRIEND,Self,1,609
16,Nonmatching,FRIEND,Self,0,793
16,Nonmatching,FRIEND,Self,1,895
16,Nonmatching,FRIEND,Self,1,637
16,Nonmatching,FRIEND,Self,1,505
16,Nonmatching,YOU,Friend,1,648
16,Matching,YOU,Self,1,547
16,Nonmatching,FRIEND,Self,1,1098
16,Matching,YOU,Self,1,685
16,Nonmatching,YOU,Friend,1,654
16,Matching,FRIEND,Friend,1,665
16,Matching,YOU,Self,1,585
16,Nonmatching,YOU,Friend,1,566
16,Matching,YOU,Self,1,518
16,Matching,YOU,Self,1,496
16,Nonmatching,FRIEND,Self,1,823
16,Matching,YOU,Self,1,543
16,Matching,FRIEND,Friend,1,985
16,Nonmatching,YOU,Friend,1,772
16,Matching,YOU,Self,1,516
16,Matching,FRIEND,Friend,1,714
16,Matching,FRIEND,Friend,1,848
16,Nonmatching,YOU,Friend,1,660
16,Nonmatching,FRIEND,Self,1,724
16,Matching,YOU,Self,1,486
16,Nonmatching,FRIEND,Self,1,875
16,Matching,FRIEND,Friend,0,670
16,Matching,FRIEND,Friend,1,807
16,Nonmatching,YOU,Friend,1,651
16,Matching,YOU,Self,1,549
16,Matching,YOU,Self,1,592
16,Matching,FRIEND,Friend,1,688
16,Nonmatching,YOU,Friend,1,822
16,Nonmatching,FRIEND,Self,1,846
16,Nonmatching,YOU,Friend,1,599
16,Matching,FRIEND,Friend,1,673
16,Matching,FRIEND,Friend,1,800
16,Matching,FRIEND,Friend,1,416
16,Nonmatching,YOU,Friend,0,485
16,Matching,YOU,Self,1,638
16,Matching,FRIEND,Friend,1,679
16,Matching,FRIEND,Friend,1,423
16,Nonmatching,YOU,Friend,1,574
16,Matching,YOU,Self,1,488
16,Matching,YOU,Self,1,395
16,Matching,YOU,Self,1,320
16,Nonmatching,FRIEND,Self,1,765
16,Nonmatching,FRIEND,Self,1,1185
16,Nonmatching,FRIEND,Self,0,747
16,Nonmatching,YOU,Friend,1,993
16,Nonmatching,YOU,Friend,1,734
16,Nonmatching,FRIEND,Self,1,729
16,Matching,YOU,Self,1,529
16,Matching,YOU,Self,1,394
16,Matching,FRIEND,Friend,1,749
16,Matching,FRIEND,Friend,1,466
16,Matching,YOU,Self,1,594
16,Nonmatching,FRIEND,Self,0,384
16,Matching,YOU,Self,1,567
16,Nonmatching,FRIEND,Self,0,517
16,Nonmatching,YOU,Friend,1,778
16,Matching,FRIEND,Friend,1,874
16,Matching,YOU,Self,1,684
16,Nonmatching,FRIEND,Self,1,619
16,Matching,YOU,Self,1,525
16,Nonmatching,YOU,Friend,1,619
16,Nonmatching,YOU,Friend,1,1026
16,Matching,FRIEND,Friend,1,702
16,Matching,FRIEND,Friend,1,640
16,Matching,FRIEND,Friend,1,470
16,Nonmatching,YOU,Friend,1,650
16,Matching,FRIEND,Friend,1,677
16,Matching,FRIEND,Friend,1,679
16,Matching,YOU,Self,1,522
16,Nonmatching,YOU,Friend,1,656
16,Nonmatching,FRIEND,Self,1,813
16,Matching,YOU,Self,1,501
