#TIME RESPONSE CND
0.858 1 111
0.5902 1 111
0.55 1 111
1.0117 1 111
0.7455 0 111
0.9284 1 111
0.8051 1 111
0.654 0 111
0.7756 1 111
0.891 1 111
0.7986 1 111
0.8053 1 111
0.4673 1 111
0.5827 0 111
0.8516 1 111
0.6948 1 111
0.5468 1 111
0.6461 1 111
0.6421 1 111
0.9624 1 111
0.7326 1 111
0.6104 1 111
0.7749 0 111
0.6982 1 111
0.6055 0 111
0.6032 1 111
0.5158 0 111
0.8124 1 111
0.6054 1 111
0.4556 1 111
0.6891 1 111
0.7329 1 111
0.6802 1 111
0.7154 1 111
0.4976 0 111
0.6915 1 111
0.4895 1 111
0.6642 1 111
0.5479 1 111
0.5633 1 111
0.7405 1 111
0.5785 1 111
0.5893 1 111
0.6245 0 111
0.8232 1 111
0.5809 1 111
0.7753 0 111
0.8236 1 111
0.8465 1 111
0.688 0 111
1.0642 1 111
0.9741 1 111
0.5953 1 111
0.6818 1 111
1.0402 0 111
0.4709 0 121
0.7813 1 121
0.6907 1 121
0.5496 1 121
0.8321 1 121
0.7572 0 121
0.9131 1 121
0.8481 1 121
0.795 1 121
0.5695 1 121
0.6447 1 121
0.981 1 121
0.6345 1 121
0.7918 1 121
0.7794 1 121
0.6658 1 121
0.8177 1 121
0.6228 0 121
0.9357 1 121
0.6284 0 121
0.7568 1 121
0.6961 1 121
0.5952 1 121
0.5711 1 121
0.7366 0 121
0.8322 1 121
0.6677 1 121
0.7088 1 121
0.6581 1 121
0.511 1 121
0.7047 1 121
0.7792 1 121
0.5695 1 121
0.5599 1 121
0.679 1 121
0.6688 0 121
0.3565 0 121
0.6683 1 121
0.7713 1 121
0.6226 1 121
0.5376 1 121
0.8886 1 121
0.6035 1 121
0.5829 1 121
1.0135 1 121
0.8262 0 121
0.617 1 121
0.6574 1 121
0.8083 0 121
0.6425 1 121
0.7907 1 121
0.6397 1 121
0.8544 1 121
0.7749 1 121
0.7346 1 121
0.6869 1 121
0.6993 1 121
0.3312 1 131
0.7202 1 131
0.664 1 131
0.5808 1 131
0.5073 0 131
0.4831 1 131
0.7347 1 131
0.6982 1 131
0.6818 1 131
0.5046 1 131
0.6007 1 131
0.744 0 131
0.7827 1 131
0.5631 1 131
0.7134 1 131
0.8572 0 131
0.7094 0 131
0.669 1 131
0.8233 1 131
0.8212 1 131
0.5924 1 131
0.5866 1 131
0.621 1 131
0.6341 0 131
0.6666 1 131
0.8303 1 131
0.5328 1 131
0.8773 0 131
0.5279 1 131
0.7612 1 131
0.8833 1 131
0.687 1 131
0.5575 1 131
0.7422 1 131
0.671 1 131
0.7341 1 131
1.047 1 131
0.79 1 131
0.6433 1 131
0.8079 1 131
0.4871 1 131
0.8555 1 131
