#TIME RESPONSE CND
0.7105 0 111
0.7448 1 111
0.465 1 111
0.572 1 111
0.7534 0 111
0.7318 1 111
0.758 1 111
0.9084 1 111
0.5885 1 111
0.4781 1 111
0.7737 1 111
0.8466 1 111
0.7969 1 111
0.8765 1 111
0.4259 1 111
0.6908 1 111
0.8466 0 111
0.6529 1 111
0.9122 1 111
0.7033 1 111
0.8357 1 111
1.0841 1 111
0.6572 1 111
0.9917 1 111
0.5852 1 111
1.0948 1 111
0.8123 1 111
0.6182 1 111
0.8335 1 111
0.6837 1 111
0.7558 0 111
0.7977 1 111
0.6625 1 111
0.8054 1 111
0.7114 0 111
0.7984 1 111
1.0267 0 111
0.7494 1 111
0.7247 1 111
0.5639 1 111
0.7776 1 111
0.8263 1 111
0.5434 1 111
0.6967 1 111
0.8362 0 111
0.717 1 111
0.6757 1 111
0.555 1 111
0.5088 1 111
0.8856 1 111
0.592 1 111
0.5918 0 111
0.7571 1 111
1.0841 1 111
0.5189 1 111
0.5974 1 121
0.7458 0 121
0.8722 1 121
0.6196 1 121
0.5297 1 121
0.5857 1 121
0.4841 1 121
0.5668 1 121
0.9809 1 121
0.8279 1 121
0.5681 1 121
0.7627 1 121
0.5887 1 121
0.7159 1 121
1.0711 1 121
0.7314 1 121
0.758 1 121
0.8325 1 121
0.5122 0 121
0.7092 0 121
0.6608 1 121
0.7421 1 121
0.5771 0 121
0.6891 1 121
0.5847 1 121
0.7046 1 121
0.6152 0 121
0.525 1 121
1.042 1 121
0.6525 1 121
0.6489 1 121
0.8708 1 121
0.7015 0 121
0.6329 0 121
0.6033 1 121
0.6665 1 121
1.0828 1 121
0.4841 1 121
0.5274 1 121
0.6835 1 121
0.5656 1 121
0.8117 0 121
0.7073 1 121
0.6747 1 121
0.5018 1 121
0.6629 1 121
0.7709 1 121
0.5257 0 121
1.026 1 121
0.8119 1 121
0.8259 1 121
0.8206 0 121
0.7804 1 121
0.6217 1 121
0.59 0 121
0.8974 0 121
0.6338 1 121
0.7612 0 131
0.8387 1 131
0.7254 1 131
0.8492 1 131
0.7427 1 131
0.6445 1 131
1.0841 1 131
0.7432 1 131
0.663 1 131
0.791 1 131
0.6698 1 131
0.508 0 131
0.7838 1 131
0.7556 1 131
0.5859 0 131
0.6745 1 131
0.6106 1 131
1.0841 1 131
0.5392 1 131
0.5547 0 131
0.7281 1 131
0.6101 1 131
0.794 0 131
0.4822 1 131
1.0102 1 131
0.6646 1 131
0.6342 1 131
1.0841 1 131
0.6281 1 131
0.7981 1 131
0.6728 1 131
0.6461 1 131
0.5983 1 131
0.6236 1 131
1.0001 1 131
0.5604 1 131
0.8194 1 131
0.6562 1 131
0.5903 0 131
0.7859 0 131
1.0088 1 131
0.5714 1 131
0.7058 1 131
0.6654 1 131
0.7255 1 131
0.8696 1 131
0.7788 1 131
0.6914 1 131
0.6874 1 131
0.6034 1 131
0.81 1 131
0.624 1 131
0.5013 1 131
1.0642 1 131
0.6795 1 131
0.6242 0 131
0.9268 1 131
0.7161 1 131
0.4413 1 131
0.6045 1 211
0.568 0 211
0.9835 1 211
0.5948 1 211
0.5711 0 211
0.6362 1 211
0.8793 1 211
0.6895 1 211
0.7497 1 211
0.7482 1 211
0.6092 1 211
0.4642 1 211
0.6432 0 211
1.0795 0 211
0.8818 1 211
0.7833 1 211
0.5232 1 211
0.6055 1 211
0.7766 1 211
0.7698 1 211
0.8903 0 211
0.9722 1 211
0.5914 1 211
0.8186 1 211
0.8243 0 211
0.6004 1 211
0.6513 1 211
0.468 1 211
0.8407 1 211
0.6194 0 211
0.6843 1 211
0.8267 1 211
0.8629 1 211
0.6388 1 211
0.8779 1 211
0.5097 1 211
0.6021 0 211
0.8336 1 211
0.6376 0 211
0.77 1 211
0.6899 1 211
0.7498 1 211
0.6657 1 211
0.6623 1 211
0.5936 0 211
0.4794 1 211
0.7935 1 211
0.7104 1 211
0.8382 1 211
0.6674 1 211
0.5822 1 211
0.8062 1 211
0.7779 1 211
0.8314 1 211
0.4465 1 211
0.7587 1 211
0.6126 1 211
0.6897 1 211
0.7292 1 221
0.6282 1 221
0.7663 1 221
0.6213 1 221
0.7093 1 221
0.7097 1 221
0.8046 1 221
0.4475 1 221
0.44 1 221
0.6758 1 221
0.7548 1 221
0.6561 1 221
0.7765 1 221
0.6161 1 221
0.7535 1 221
0.6728 0 221
0.763 1 221
0.7814 1 221
1.0841 1 221
0.6819 1 221
0.6063 1 221
0.6008 0 221
0.654 1 221
0.5765 1 221
0.5624 1 221
0.5384 1 221
0.6088 1 221
0.8878 1 221
0.8201 1 221
0.791 1 221
0.6321 1 221
0.5609 1 221
0.717 0 221
0.8373 1 221
0.8318 1 221
0.5088 1 221
0.7239 1 221
0.4233 1 221
0.5858 1 221
0.8628 1 221
0.4144 1 221
0.7941 0 221
0.768 1 221
1.0246 1 221
0.7681 0 221
0.6771 1 221
0.566 0 221
0.649 1 221
0.692 1 221
0.5223 0 221
0.6924 1 221
0.6518 1 221
0.5125 0 221
0.4669 0 221
0.6125 1 221
0.7851 1 221
0.5437 0 221
0.9286 1 221
0.5907 1 231
0.7004 1 231
0.766 1 231
0.7386 1 231
0.7966 0 231
0.7898 1 231
0.6022 1 231
0.6863 1 231
0.9122 1 231
0.6151 1 231
0.7358 1 231
0.4628 1 231
0.8909 1 231
0.4938 1 231
0.6388 1 231
0.7693 1 231
0.3869 1 231
0.781 1 231
1.0534 1 231
0.7 1 231
1.033 1 231
0.9675 1 231
0.6394 1 231
0.8389 1 231
0.5928 1 231
0.6144 1 231
0.7946 1 231
0.6909 1 231
0.5872 1 231
0.5929 1 231
0.7323 1 231
0.7765 0 231
0.4683 0 231
0.7207 1 231
0.5616 1 231
0.7392 0 231
0.6538 1 231
1.0841 1 231
0.7398 1 231
0.7696 1 231
0.6545 1 231
0.6635 1 231
0.5678 1 231
0.5664 1 231
0.9117 1 231
0.6052 0 231
0.7342 0 231
0.6086 0 231
0.6193 1 231
0.7347 1 231
0.5953 1 231
0.6571 1 231
0.7626 1 231
0.7166 1 231
0.6968 1 231
