#TIME RESPONSE CND
0.486 1 111
0.6302 1 111
0.5784 1 111
0.7009 1 111
0.6251 1 111
0.545 1 111
0.5061 1 111
0.8323 1 111
1.0198 1 111
0.6288 1 111
0.7114 1 111
0.518 1 111
0.9587 1 111
0.6399 1 111
0.9086 1 111
0.8219 1 111
0.7504 1 111
0.5027 1 111
0.7098 1 111
0.6756 0 111
0.5547 1 111
0.6815 1 111
0.6464 1 111
0.6179 0 111
0.7725 1 111
0.7325 1 111
0.6853 0 111
0.6977 1 111
0.6458 1 111
0.8526 1 111
0.5058 1 111
0.8569 1 111
1.053 1 111
0.6698 1 111
0.6903 1 111
0.6274 1 111
0.8734 1 111
0.8528 0 111
0.932 1 111
0.6937 1 111
0.6186 1 111
0.7646 1 111
0.9156 1 111
0.6021 1 111
0.6717 1 111
0.6048 1 111
0.9198 1 111
0.791 1 111
0.5866 1 111
0.331 1 111
0.5635 0 111
1.0841 1 111
0.6182 1 111
1.0841 1 111
0.7515 1 111
0.6607 1 111
0.6285 1 111
0.5151 0 111
0.6499 1 111
0.5065 1 111
1.026 1 121
0.6031 1 121
1.0115 1 121
0.6809 1 121
0.7339 1 121
0.8808 1 121
0.9145 1 121
0.7832 1 121
0.6073 1 121
0.8617 0 121
0.5636 0 121
0.6472 1 121
0.5888 1 121
0.742 1 121
0.7208 1 121
0.8786 1 121
0.6369 1 121
0.7052 1 121
0.4934 1 121
0.6345 1 121
0.5176 1 121
0.742 1 121
0.676 1 121
0.6208 1 121
0.6074 1 121
0.703 1 121
0.7545 1 121
0.702 1 121
0.5782 1 121
0.6504 1 121
0.9821 1 121
0.6846 1 121
0.9183 1 121
0.9058 0 121
0.7366 1 121
0.765 1 121
0.754 0 121
0.6225 1 121
0.6776 1 121
0.5804 0 121
0.8476 1 121
0.9113 1 121
0.7028 1 121
0.8027 1 121
0.5366 1 121
1.0841 1 121
0.6762 1 121
0.5197 1 121
0.8364 1 121
0.5253 1 121
0.6193 1 121
0.7782 1 121
0.9513 1 121
0.5982 1 121
0.6711 1 121
0.8899 1 121
0.6954 1 121
0.7122 1 121
0.6835 0 131
0.4515 0 131
0.6725 1 131
0.79 1 131
0.7434 0 131
0.7562 1 131
0.618 1 131
0.6309 1 131
0.7781 1 131
0.58 1 131
0.696 1 131
0.7417 1 131
0.7941 1 131
0.5936 1 131
0.9469 0 131
0.599 0 131
0.7101 1 131
0.6128 1 131
0.7379 1 131
0.7873 1 131
0.3525 1 131
0.6438 1 131
0.6102 1 131
0.7442 1 131
0.8641 1 131
0.7872 1 131
0.6026 1 131
0.7479 1 131
0.8463 1 131
0.682 0 131
0.6031 1 131
0.5088 1 131
0.6826 1 131
1.0841 1 131
0.8237 1 131
0.8767 1 131
0.6834 0 131
1.0219 1 131
0.567 1 131
1.0076 0 131
0.6693 0 131
0.7835 0 131
0.6019 1 131
0.9538 1 131
0.9687 1 131
0.6445 1 131
0.6994 1 131
0.6906 1 131
0.4008 1 131
0.9535 1 131
0.5327 1 131
0.5249 1 131
0.5074 0 131
0.6652 0 131
0.7356 1 131
0.4853 1 131
0.7866 1 131
0.6798 1 131
0.6499 1 131
0.7723 0 211
0.5493 0 211
0.8451 1 211
0.6388 1 211
0.7943 1 211
0.7336 1 211
0.5222 1 211
0.7031 1 211
0.7367 1 211
0.8144 1 211
0.6413 1 211
0.7847 0 211
0.5544 1 211
0.6526 1 211
0.4624 1 211
0.7368 1 211
0.733 1 211
0.8547 0 211
1.0841 0 211
0.5755 1 211
0.5246 1 211
0.7608 1 211
0.788 1 211
0.5221 0 211
0.7159 1 211
0.679 1 211
0.6368 1 211
0.9349 1 211
0.5403 1 211
0.7004 0 211
0.9145 1 211
0.7821 1 211
0.8326 1 211
0.7435 1 211
0.8324 1 211
0.9033 1 211
0.6999 1 211
0.7781 1 211
0.6052 1 211
0.6012 1 211
0.7151 1 211
0.3916 1 211
0.5823 1 211
0.6238 1 211
0.6721 1 211
1.0841 1 211
0.5787 1 211
0.5358 1 211
0.9598 1 211
0.791 1 211
0.5481 1 211
1.0108 1 211
0.8043 1 211
0.7557 1 211
0.6468 1 211
0.5416 0 211
0.6704 1 211
0.6558 1 211
0.9961 1 211
0.7228 1 221
0.6484 1 221
1.0841 1 221
0.7543 1 221
1.0841 1 221
0.6317 1 221
0.9897 1 221
0.5277 0 221
0.6896 1 221
0.6203 1 221
0.7423 1 221
0.7513 1 221
0.5465 1 221
1.085 1 221
0.4751 1 221
0.5118 1 221
0.5677 1 221
0.8776 1 221
0.73 1 221
0.4934 1 221
0.8895 1 221
0.8709 1 221
0.6854 0 221
0.7924 0 221
0.8547 0 221
0.6598 1 221
0.7808 1 221
0.6832 1 221
0.5555 1 221
0.6473 0 221
0.7927 0 221
0.6041 0 221
0.6515 0 221
0.832 1 221
0.6198 1 221
0.8172 1 221
0.5194 0 221
0.9294 1 221
0.5924 1 221
0.8346 0 221
0.8116 1 221
0.7491 1 221
0.8137 1 221
0.6344 1 221
0.5367 1 221
0.9122 1 221
0.7084 1 221
0.8048 1 221
1.0841 1 221
