#TIME RESPONSE CND
0.6371 1 112
0.935 1 112
0.7347 1 112
0.5763 1 112
0.6845 1 112
0.7275 1 112
0.5807 1 112
0.6278 1 112
0.9044 1 112
0.6385 1 112
0.6179 1 112
0.861 1 112
0.4811 1 112
0.7132 0 112
0.5464 0 112
0.5544 1 112
0.6388 1 112
0.6218 1 112
0.6535 1 112
0.6163 1 112
0.5582 1 112
0.699 1 112
0.7329 1 112
0.7276 1 112
0.6533 1 112
0.8104 1 112
0.5706 1 112
1.0642 1 112
1.0474 1 112
0.8577 1 112
0.5156 1 112
0.7386 1 112
0.8867 1 112
0.6423 1 112
0.6431 1 122
0.7616 1 122
0.8687 1 122
0.4355 1 122
0.4931 1 122
0.7072 1 122
0.7517 1 122
0.8186 1 122
0.8153 1 122
0.8901 1 122
0.7175 1 122
0.4989 1 122
0.5164 1 122
0.5708 1 122
1.0286 1 122
0.7287 1 122
0.7678 1 122
0.7491 1 122
0.7459 1 122
0.7602 1 122
0.785 1 122
0.7005 1 122
0.7228 1 122
0.5348 0 122
0.6479 1 122
0.5107 1 122
0.6853 0 122
0.5436 1 122
0.4438 1 122
0.6117 1 122
0.5165 1 122
0.8606 1 122
0.6376 1 122
0.6366 1 122
0.8116 1 122
0.5096 1 122
0.6298 1 122
0.7115 1 122
0.6038 1 122
0.5814 0 122
0.4736 1 122
0.6453 1 122
0.5353 1 122
0.5561 1 122
0.5588 0 122
0.6865 0 122
0.5341 1 122
0.9148 1 122
0.4141 1 122
0.5844 1 122
0.5958 1 122
0.8264 1 122
0.3861 1 132
0.7612 1 132
0.4709 1 132
0.6414 1 132
0.5277 1 132
0.794 1 132
0.7372 1 132
0.7273 1 132
0.7523 1 132
0.5827 0 132
0.8005 1 132
0.7091 1 132
0.6154 0 132
0.5455 1 132
0.5511 1 132
0.4514 1 132
0.6421 0 132
0.8554 1 132
0.4511 1 132
0.6665 1 132
0.5252 0 132
0.6988 1 132
0.6803 1 132
0.5998 1 132
0.6459 1 132
0.9098 1 132
0.7505 0 132
0.5314 1 132
0.6077 1 132
0.7369 1 132
0.7602 1 132
0.6686 1 132
0.7366 1 132
0.8008 1 132
0.682 1 132
0.6447 1 132
0.5996 1 132
0.6881 0 132
0.5639 1 132
0.6006 1 132
0.6471 1 132
0.5363 1 132
0.5353 1 132
0.5925 1 132
0.8044 1 132
0.6566 1 132
0.9949 1 132
0.7174 1 132
0.6587 1 132
0.6713 1 132
0.5665 1 132
0.6154 0 132
0.4203 1 132
0.8046 1 132
0.7726 0 132
0.8112 0 132
0.6984 1 132
0.5545 1 132
0.3737 1 212
0.8879 0 212
0.5882 1 212
0.7697 1 212
0.61 1 212
0.6526 1 212
0.5748 1 212
0.5251 1 212
1.0304 1 212
0.7842 0 212
0.7549 1 212
0.5779 1 212
0.5186 1 212
0.8289 1 212
0.4949 1 212
0.7081 1 212
0.5906 1 212
0.7053 0 212
0.6701 1 212
0.8498 1 212
0.497 1 212
0.7386 1 212
0.6872 1 212
0.749 1 212
0.8293 1 212
0.6563 1 212
0.6251 1 212
0.8721 1 212
0.5011 1 212
0.5399 1 212
0.7692 0 212
0.8956 1 212
0.6804 1 212
0.6805 1 212
0.7396 1 212
0.6206 1 212
0.5554 1 212
0.6989 1 212
0.5202 1 212
