#TIME RESPONSE CND
1.0841 1 111
0.6753 1 111
0.7845 1 111
0.6396 1 111
0.6837 1 111
1.0483 0 111
0.4984 1 111
0.6575 1 111
0.6809 1 111
0.6967 1 111
1.0379 0 111
0.5914 1 111
0.542 1 111
0.5424 1 111
0.8498 1 111
0.777 1 111
0.7307 0 111
0.5719 1 111
0.7014 1 111
0.6347 1 111
0.7286 1 111
0.8402 0 111
0.8031 1 111
0.7573 1 111
0.7763 1 111
0.7437 1 111
0.5183 1 111
1.0562 1 111
0.7941 1 111
0.7988 1 111
0.6982 0 111
0.6324 1 111
0.8772 1 111
0.5345 1 111
0.4554 1 111
0.6717 0 111
0.9608 0 111
0.6307 1 111
0.7672 1 111
0.7054 1 111
0.6697 1 111
0.7107 1 111
0.7637 1 111
0.8025 1 111
0.6165 1 111
0.951 0 111
0.8721 1 111
0.7835 1 111
0.7164 1 111
0.59 1 111
0.8376 1 111
0.6905 1 111
0.6567 1 111
0.7059 1 111
1.0841 1 111
0.6846 1 111
1.0841 1 121
0.7995 1 121
0.7041 1 121
0.6228 0 121
0.761 1 121
0.7076 1 121
0.738 0 121
0.669 0 121
0.593 1 121
0.9584 1 121
0.6516 1 121
0.7998 1 121
0.7404 1 121
0.5062 1 121
1.0096 1 121
0.7036 0 121
0.8752 1 121
0.7909 1 121
0.651 1 121
0.8637 1 121
0.6826 1 121
0.444 1 121
0.5873 1 121
0.8738 1 121
0.614 1 121
0.6877 1 121
0.6107 1 121
0.6368 0 121
0.6431 1 121
0.483 1 121
0.5661 1 121
0.8089 1 121
0.637 1 121
0.7564 1 121
0.7481 0 121
0.4839 1 121
0.821 1 121
0.5801 1 121
1.0687 1 121
0.5648 1 121
0.9276 1 121
0.8222 1 121
0.7571 0 121
0.5906 1 121
0.7511 1 121
1.0142 1 121
0.454 1 121
0.7492 0 121
0.6758 1 121
0.6307 1 121
0.5867 0 121
0.6031 1 121
0.6964 1 121
0.7237 1 121
0.7016 1 121
0.5467 1 121
0.685 1 121
0.9231 0 131
0.7093 1 131
0.8519 1 131
0.584 1 131
0.5812 1 131
1.0655 0 131
0.8442 1 131
1.0446 1 131
0.6771 1 131
0.6197 1 131
0.7344 1 131
0.6911 0 131
0.9205 1 131
0.6669 1 131
0.6736 1 131
0.5842 0 131
0.5901 1 131
0.6882 1 131
0.7154 1 131
0.7372 1 131
0.9309 1 131
0.6193 1 131
0.7007 1 131
0.7241 0 131
0.6063 1 131
0.7637 1 131
0.906 1 131
0.6315 1 131
0.5416 1 131
0.595 1 131
0.7816 1 131
0.7249 1 131
0.6048 1 131
0.4664 1 131
1.0841 1 131
0.8392 0 131
0.5828 1 131
0.62 1 131
0.5811 1 131
0.7262 1 131
0.7579 1 131
1.0079 0 131
0.769 0 131
0.9043 1 131
0.817 0 131
0.6316 1 131
0.6661 1 131
1.0405 1 131
0.7597 1 131
0.5839 1 131
0.827 1 131
0.9061 1 131
0.68 1 131
0.7697 1 131
0.8154 1 131
1.0333 1 131
0.7177 0 131
0.6192 0 211
0.5924 0 211
0.6801 1 211
0.6482 1 211
0.673 0 211
0.5864 1 211
0.8561 1 211
0.6672 1 211
0.753 1 211
0.6958 0 211
0.6975 1 211
0.7691 1 211
0.6462 0 211
0.6421 1 211
0.9 1 211
0.9234 1 211
0.9011 1 211
0.6798 1 211
0.5697 1 211
0.617 0 211
0.7653 1 211
0.6335 1 211
0.5194 1 211
0.7032 1 211
0.3828 1 211
0.6077 1 211
1.059 1 211
0.6124 1 211
0.4928 1 211
0.9607 1 211
0.67 1 211
0.7165 1 211
0.7399 1 211
0.5107 1 211
0.6549 1 211
0.5781 1 211
0.668 1 211
1.085 1 211
0.5154 0 211
0.847 1 211
0.5086 1 211
0.7228 1 211
0.8004 1 211
0.5805 1 211
0.557 1 211
0.67 1 211
0.9071 1 211
0.4834 1 211
0.9382 1 211
0.691 1 211
0.5924 0 211
0.4188 0 211
0.6948 1 211
0.5742 1 211
0.8496 1 211
0.6147 0 211
0.8087 1 211
0.6471 0 221
0.7021 1 221
0.5725 1 221
0.8043 1 221
0.432 1 221
0.457 0 221
0.9968 1 221
0.6701 1 221
0.5829 1 221
0.6164 1 221
0.6942 1 221
0.6688 0 221
0.75 1 221
0.5522 1 221
0.7763 1 221
0.6979 1 221
0.6242 1 221
0.8215 1 221
0.735 1 221
0.6361 0 221
0.7387 1 221
0.7566 1 221
0.6159 1 221
0.4712 1 221
0.6456 1 221
0.7318 1 221
0.6513 0 221
0.5949 1 221
0.6259 1 221
0.8187 0 221
0.738 1 221
0.6942 1 221
0.8413 1 221
0.8475 0 221
0.8235 1 221
0.5903 1 221
0.7292 1 221
0.6479 1 221
0.3604 0 221
0.9771 1 221
0.7643 1 221
0.574 1 221
0.8593 1 221
0.6088 1 221
0.8032 0 221
0.9889 1 221
0.549 0 221
0.6598 1 221
0.5764 0 221
0.8319 1 221
0.537 1 221
0.7307 1 221
0.5758 1 221
0.6892 0 221
0.7243 1 221
0.6055 1 221
0.5869 1 221
0.74 1 231
0.6968 1 231
0.6026 1 231
0.7187 0 231
0.7494 1 231
0.6764 0 231
0.7233 0 231
0.7643 0 231
0.5967 1 231
0.7275 1 231
0.9346 1 231
0.5316 1 231
0.4895 1 231
1.085 1 231
0.6051 1 231
0.5501 1 231
0.7684 1 231
0.8615 1 231
0.6948 1 231
0.5964 1 231
0.4828 1 231
0.5103 1 231
0.8227 0 231
0.8168 1 231
0.6766 0 231
0.7981 1 231
0.54 1 231
0.9404 1 231
0.7844 1 231
0.5985 1 231
0.7839 1 231
0.6464 1 231
0.7454 1 231
0.509 1 231
0.7626 1 231
0.548 1 231
0.5879 1 231
0.7807 1 231
0.6376 1 231
0.5578 1 231
1.0755 1 231
0.869 0 231
0.6302 1 231
0.4847 1 231
0.7328 1 231
0.588 1 231
0.5605 1 231
0.8919 1 231
0.8449 1 231
0.5535 1 231
0.4928 1 231
0.7222 1 231
0.6358 1 231
0.6359 1 231
0.9242 1 231
0.6601 1 231
0.9531 1 231
0.616 1 112
0.7432 1 112
0.8229 1 112
0.7577 0 112
0.8079 1 112
0.6661 1 112
0.8821 0 112
0.5369 1 112
0.4846 1 112
0.7084 1 112
0.5681 1 112
0.8888 0 112
0.8691 1 112
0.8951 0 112
0.882 1 112
0.6954 1 112
0.6475 1 112
0.6462 1 112
0.6487 1 112
0.6413 1 112
0.607 1 112
0.896 1 112
0.6465 1 112
0.6794 1 112
1.0026 1 112
0.5943 1 112
0.6081 1 112
0.6915 1 112
0.8081 0 112
0.7174 1 112
0.7124 1 112
0.5794 0 112
0.5471 1 112
0.634 0 112
0.7867 1 112
0.8323 1 112
0.7433 1 112
0.8253 1 112
0.6083 1 112
0.5954 1 112
0.6368 1 112
0.5787 1 112
0.8885 1 112
0.6589 1 112
0.7289 1 112
0.8205 1 112
0.7704 1 112
0.8249 0 112
0.6424 1 112
0.6919 1 112
0.6863 1 112
0.6748 1 112
0.7642 1 112
0.6913 1 112
0.9292 1 112
0.692 1 112
0.8209 0 112
0.7478 1 112
0.6052 1 112
0.7754 0 122
0.6107 1 122
0.6514 1 122
0.5694 1 122
0.6322 1 122
0.8077 1 122
0.7723 1 122
0.727 1 122
0.6424 1 122
0.6489 0 122
0.5942 1 122
1.0303 1 122
0.9283 1 122
0.9327 1 122
0.5408 0 122
0.4913 1 122
0.7502 1 122
0.7188 1 122
0.6752 1 122
0.5521 1 122
