"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Celebrity","RT",0.164023512568205,-0.0363066472575786,0.337440894141536,"P51E2"
"Celebrity","ACC",0.149995993639049,-0.03876507733333,0.419005775237015,"P51E2"
"Celebrity","d Prime",0.258413551072203,0.0101848081011261,0.488605100347564,"P51E2"
"Celebrity","Efficiency",0.33173947638369,0.069360776353849,0.644289621657146,"P51E2"
"Celebrity","ezDDM v",0.0774119690779432,-0.128456032092835,0.299467402544851,"P51E2"
"Celebrity","ezDDM z",-0.146227794205634,-0.280663445941418,0.0449218393713725,"P51E2"
"Celebrity","rwDDM v",0.186673771050376,-0.118384617794443,0.483043265968033,"P51E2"
"Celebrity","rwDDM z",0.162285038427214,-0.0897027566004799,0.481870351190525,"P51E2"
