"Target","Indice","r","LLCI","ULCI","Paper_ID"
"Father","RT",0.636953352193418,0.53465673379182,0.821093149484564,"Pn13E3"
"Father","ACC",0.0714963526676391,-0.206134723295739,0.326895238197901,"Pn13E3"
"Father","d Prime",0.242730592539893,0.00388303837940772,0.475749292624173,"Pn13E3"
"Father","Efficiency",0.526675996856581,0.260307555972246,0.715385788555213,"Pn13E3"
"Father","ezDDM v",0.304360073052031,0.0621587730722509,0.547576331515447,"Pn13E3"
"Father","ezDDM z",-0.0452568068623598,-0.22777222336869,0.280054751747902,"Pn13E3"
"Father","rwDDM v",0.235654042195491,-0.0163413596479716,0.493434305623798,"Pn13E3"
"Father","rwDDM z",0.00269445572192828,-0.203222290604049,0.202444018095322,"Pn13E3"
"Stranger","RT",0.698757682096836,0.605883932046852,0.822622480283974,"Pn13E3"
"Stranger","ACC",0.484382063628128,0.290754442338065,0.641551312104814,"Pn13E3"
"Stranger","d Prime",0.245847891701394,-0.0552008470503662,0.500419006606033,"Pn13E3"
"Stranger","Efficiency",0.654192118474133,0.470522117720167,0.779149612369034,"Pn13E3"
"Stranger","ezDDM v",0.498021469635609,0.343811148080496,0.644722657689581,"Pn13E3"
"Stranger","ezDDM z",0.0232799479151208,-0.178155223089306,0.216110323589077,"Pn13E3"
"Stranger","rwDDM v",0.237226952743831,0.127552411620916,0.344769818915384,"Pn13E3"
"Stranger","rwDDM z",-0.032343452899263,-0.434781900455445,0.25849239022089,"Pn13E3"
