"Indice","Method","r","Target","Paper_ID"
"RT","First-Second",0.534840470396674,"Celebrity","P51E2"
"RT","Odd-Even",0.642750715547615,"Celebrity","P51E2"
"RT","Permuted",0.385798351539781,"Celebrity","P51E2"
"ACC","First-Second",-0.0973011201974288,"Celebrity","P51E2"
"ACC","Odd-Even",0.233180747259622,"Celebrity","P51E2"
"ACC","Permuted",0.159880975120487,"Celebrity","P51E2"
"Dprime","First-Second",0.151933343364648,"Celebrity","P51E2"
"Dprime","Odd-Even",0.484186553843801,"Celebrity","P51E2"
"Dprime","Permuted",0.283896105674832,"Celebrity","P51E2"
"Efficiency","First-Second",0.0926205873694299,"Celebrity","P51E2"
"Efficiency","Odd-Even",0.156890598809967,"Celebrity","P51E2"
"Efficiency","Permuted",0.115447841494899,"Celebrity","P51E2"
"ezDDM: v","First-Second",-0.249729379518291,"Celebrity","P51E2"
"ezDDM: v","Odd-Even",0.214495166916779,"Celebrity","P51E2"
"ezDDM: v","Permuted",0.120017418750578,"Celebrity","P51E2"
"ezDDM: z","First-Second",-0.254003730805851,"Celebrity","P51E2"
"ezDDM: z","Odd-Even",-0.116626258711089,"Celebrity","P51E2"
"ezDDM: z","Permuted",0.179644903038968,"Celebrity","P51E2"
