"Indice","Method","r","Target","Paper_ID"
"RT","First-Second",0.625618084848009,"Friend","P95E2"
"RT","Odd-Even",0.418922159431786,"Friend","P95E2"
"RT","Permuted",0.177511257539841,"Friend","P95E2"
"ACC","First-Second",0.0997276601049926,"Friend","P95E2"
"ACC","Odd-Even",0.411088506057199,"Friend","P95E2"
"ACC","Permuted",0.23865644077444,"Friend","P95E2"
"Dprime","First-Second",-0.34120396835117,"Friend","P95E2"
"Dprime","Odd-Even",-0.0731532665213931,"Friend","P95E2"
"Dprime","Permuted",-0.120028424930299,"Friend","P95E2"
"Efficiency","First-Second",0.0394367327610003,"Friend","P95E2"
"Efficiency","Odd-Even",0.0521182479375362,"Friend","P95E2"
"Efficiency","Permuted",0.0655339322351209,"Friend","P95E2"
"ezDDM: v","First-Second",0.3080066367216,"Friend","P95E2"
"ezDDM: v","Odd-Even",0.321558969954822,"Friend","P95E2"
"ezDDM: v","Permuted",0.117226650809816,"Friend","P95E2"
"ezDDM: z","First-Second",0.185637020403791,"Friend","P95E2"
"ezDDM: z","Odd-Even",0.200639875310409,"Friend","P95E2"
"ezDDM: z","Permuted",-0.0126378700584203,"Friend","P95E2"
