"Indice","Method","r","Target","Paper_ID"
"RT","First-Second",0.38738868327124,"Stranger","Pn4E1"
"RT","Odd-Even",-0.120829047563442,"Stranger","Pn4E1"
"RT","Permuted",0.0629717463706406,"Stranger","Pn4E1"
"ACC","First-Second",0.198352308992978,"Stranger","Pn4E1"
"ACC","Odd-Even",0.232775687769955,"Stranger","Pn4E1"
"ACC","Permuted",0.590063643224731,"Stranger","Pn4E1"
"Dprime","First-Second",0.117142056463928,"Stranger","Pn4E1"
"Dprime","Odd-Even",0.288932735504794,"Stranger","Pn4E1"
"Dprime","Permuted",0.536064193474877,"Stranger","Pn4E1"
"Efficiency","First-Second",0.161270980349688,"Stranger","Pn4E1"
"Efficiency","Odd-Even",0.0685250684527576,"Stranger","Pn4E1"
"Efficiency","Permuted",0.169223998472804,"Stranger","Pn4E1"
"ezDDM: v","First-Second",0.00366073077713348,"Stranger","Pn4E1"
"ezDDM: v","Odd-Even",0.26843243314614,"Stranger","Pn4E1"
"ezDDM: v","Permuted",0.422473229424148,"Stranger","Pn4E1"
"ezDDM: z","First-Second",0.0771595333335537,"Stranger","Pn4E1"
"ezDDM: z","Odd-Even",0.368822604812874,"Stranger","Pn4E1"
"ezDDM: z","Permuted",0.286048457882713,"Stranger","Pn4E1"
