"Indice","Method","r","Target","Paper_ID"
"RT","First-Second",0.564346198766566,"Stranger","Pn13E4"
"RT","Odd-Even",0.422739099765587,"Stranger","Pn13E4"
"RT","Permuted",0.222959753858671,"Stranger","Pn13E4"
"ACC","First-Second",0.0335314171129104,"Stranger","Pn13E4"
"ACC","Odd-Even",0.564980755713003,"Stranger","Pn13E4"
"ACC","Permuted",-0.0913490313673715,"Stranger","Pn13E4"
"Dprime","First-Second",-0.131512316336785,"Stranger","Pn13E4"
"Dprime","Odd-Even",0.257483245630195,"Stranger","Pn13E4"
"Dprime","Permuted",-0.144838858093412,"Stranger","Pn13E4"
"Efficiency","First-Second",0.145804239550963,"Stranger","Pn13E4"
"Efficiency","Odd-Even",0.182298637696747,"Stranger","Pn13E4"
"Efficiency","Permuted",0.0134368204992313,"Stranger","Pn13E4"
"ezDDM: v","First-Second",0.00800747101204272,"Stranger","Pn13E4"
"ezDDM: v","Odd-Even",0.637436218206804,"Stranger","Pn13E4"
"ezDDM: v","Permuted",0.142183502946599,"Stranger","Pn13E4"
"ezDDM: z","First-Second",0.0171832642917312,"Stranger","Pn13E4"
"ezDDM: z","Odd-Even",0.300150912043901,"Stranger","Pn13E4"
"ezDDM: z","Permuted",-0.155904347694414,"Stranger","Pn13E4"
