Target,Indice,Method,r,Paper_ID
Acquaintance,RT,First-Second,0.007390863,P54E1
Acquaintance,RT,Odd-Even,0.217675106,P54E1
Acquaintance,ACC,First-Second,0.150141832,P54E1
Acquaintance,ACC,Odd-Even,0.005330661,P54E1
Acquaintance,d Prime,First-Second,0.027000875,P54E1
Acquaintance,d Prime,Odd-Even,0.050828636,P54E1
Acquaintance,Efficiency,First-Second,0.213551249,P54E1
Acquaintance,Efficiency,Odd-Even,0.226418185,P54E1
Acquaintance,ezDDM v,First-Second,0.07758339,P54E1
Acquaintance,ezDDM v,Odd-Even,0.156471389,P54E1
Acquaintance,ezDDM z,First-Second,0.084913293,P54E1
Acquaintance,ezDDM z,Odd-Even,0.198966507,P54E1
Acquaintance,rwDDM v,First-Second,-0.08179041,P54E1
Acquaintance,rwDDM v,Odd-Even,-0.134653667,P54E1
Acquaintance,rwDDM z,First-Second,0.075226733,P54E1
Acquaintance,rwDDM z,Odd-Even,-0.091449846,P54E1
Mother,RT,First-Second,-0.140265265,P54E1
Mother,RT,Odd-Even,-0.30511535,P54E1
Mother,ACC,First-Second,0.381442073,P54E1
Mother,ACC,Odd-Even,0.017632674,P54E1
Mother,d Prime,First-Second,-0.041640646,P54E1
Mother,d Prime,Odd-Even,0.080221029,P54E1
Mother,Efficiency,First-Second,0.113059281,P54E1
Mother,Efficiency,Odd-Even,-0.694491875,P54E1
Mother,ezDDM v,First-Second,0.0032015,P54E1
Mother,ezDDM v,Odd-Even,0.221226241,P54E1
Mother,ezDDM z,First-Second,0.433187527,P54E1
Mother,ezDDM z,Odd-Even,0.166915035,P54E1
Mother,rwDDM v,First-Second,-0.012025935,P54E1
Mother,rwDDM v,Odd-Even,0.042326321,P54E1
Mother,rwDDM z,First-Second,0.02096544,P54E1
Mother,rwDDM z,Odd-Even,0.076747767,P54E1
None,RT,First-Second,0.287403364,P54E1
None,RT,Odd-Even,0.366183315,P54E1
None,ACC,First-Second,0.311296729,P54E1
None,ACC,Odd-Even,0.283408194,P54E1
None,d Prime,First-Second,-0.208822707,P54E1
None,d Prime,Odd-Even,0.124499122,P54E1
None,Efficiency,First-Second,0.450041025,P54E1
None,Efficiency,Odd-Even,0.493986712,P54E1
None,ezDDM v,First-Second,0.145994728,P54E1
None,ezDDM v,Odd-Even,0.349198826,P54E1
None,ezDDM z,First-Second,-0.002565362,P54E1
None,ezDDM z,Odd-Even,0.0835531,P54E1
None,rwDDM v,First-Second,0.199702234,P54E1
None,rwDDM v,Odd-Even,-0.018703982,P54E1
None,rwDDM z,First-Second,0.001340157,P54E1
None,rwDDM z,Odd-Even,-0.24841537,P54E1
