"Target","Indice","Method","r","Paper_ID"
"Friend","RT","First-Second",0.5066993058413,"Pt27E1"
"Friend","RT","Odd-Even",0.70608703668588,"Pt27E1"
"Friend","ACC","First-Second",0.41278913278075,"Pt27E1"
"Friend","ACC","Odd-Even",0.642671635414769,"Pt27E1"
"Friend","d Prime","First-Second",0.480278039971004,"Pt27E1"
"Friend","d Prime","Odd-Even",0.423559451181634,"Pt27E1"
"Friend","Efficiency","First-Second",0.584462062698192,"Pt27E1"
"Friend","Efficiency","Odd-Even",0.788114094997832,"Pt27E1"
"Friend","ezDDM v","First-Second",0.449968644919598,"Pt27E1"
"Friend","ezDDM v","Odd-Even",0.530665236544009,"Pt27E1"
"Friend","ezDDM z","First-Second",-0.0258431695493371,"Pt27E1"
"Friend","ezDDM z","Odd-Even",0.233035798330364,"Pt27E1"
"Friend","rwDDM v","First-Second",0.254286962445484,"Pt27E1"
"Friend","rwDDM v","Odd-Even",0.317905843792413,"Pt27E1"
"Friend","rwDDM z","First-Second",0.151392185408636,"Pt27E1"
"Friend","rwDDM z","Odd-Even",-0.00741966455725479,"Pt27E1"
"Stranger","RT","First-Second",0.578195388338646,"Pt27E1"
"Stranger","RT","Odd-Even",0.712090145671453,"Pt27E1"
"Stranger","ACC","First-Second",0.35807102170291,"Pt27E1"
"Stranger","ACC","Odd-Even",0.519221385927396,"Pt27E1"
"Stranger","d Prime","First-Second",0.560988631001583,"Pt27E1"
"Stranger","d Prime","Odd-Even",0.410223336987961,"Pt27E1"
"Stranger","Efficiency","First-Second",0.494332197838061,"Pt27E1"
"Stranger","Efficiency","Odd-Even",0.7216718018192,"Pt27E1"
"Stranger","ezDDM v","First-Second",0.528207379311918,"Pt27E1"
"Stranger","ezDDM v","Odd-Even",0.570092364861179,"Pt27E1"
"Stranger","ezDDM z","First-Second",0.168531190190849,"Pt27E1"
"Stranger","ezDDM z","Odd-Even",0.16626252136604,"Pt27E1"
"Stranger","rwDDM v","First-Second",0.33438327771205,"Pt27E1"
"Stranger","rwDDM v","Odd-Even",0.171359393321583,"Pt27E1"
"Stranger","rwDDM z","First-Second",-0.011321708103546,"Pt27E1"
"Stranger","rwDDM z","Odd-Even",0.312356052405205,"Pt27E1"
