"Target","Indice","Method","r","Paper_ID"
"Stranger","RT","First-Second",0.0888581855666809,"Ps1E1"
"Stranger","RT","Odd-Even",0.152728212091206,"Ps1E1"
"Stranger","ACC","First-Second",0.136549424324257,"Ps1E1"
"Stranger","ACC","Odd-Even",0.199831402906666,"Ps1E1"
"Stranger","d Prime","First-Second",0.159326649192908,"Ps1E1"
"Stranger","d Prime","Odd-Even",0.310146716317535,"Ps1E1"
"Stranger","Efficiency","First-Second",0.156220982951037,"Ps1E1"
"Stranger","Efficiency","Odd-Even",0.225318240677096,"Ps1E1"
"Stranger","ezDDM v","First-Second",0.114853785433196,"Ps1E1"
"Stranger","ezDDM v","Odd-Even",0.0933590180863323,"Ps1E1"
"Stranger","ezDDM z","First-Second",0.0627905924320866,"Ps1E1"
"Stranger","ezDDM z","Odd-Even",0.192407985415435,"Ps1E1"
"Stranger","rwDDM v","First-Second",0.0700914811229639,"Ps1E1"
"Stranger","rwDDM v","Odd-Even",-0.0153895710784655,"Ps1E1"
"Stranger","rwDDM z","First-Second",0.0644873264873028,"Ps1E1"
"Stranger","rwDDM z","Odd-Even",0.0730510850840045,"Ps1E1"
