"Target","Indice","Method","r","Paper_ID"
"Mother","RT","First-Second",0.782555640707747,"Ps5E1"
"Mother","RT","Odd-Even",0.680321232004181,"Ps5E1"
"Mother","ACC","First-Second",0.592303150810639,"Ps5E1"
"Mother","ACC","Odd-Even",0.361128017263012,"Ps5E1"
"Mother","d Prime","First-Second",0.298149862795474,"Ps5E1"
"Mother","d Prime","Odd-Even",0.455574781366583,"Ps5E1"
"Mother","Efficiency","First-Second",0.804099132283298,"Ps5E1"
"Mother","Efficiency","Odd-Even",0.785435055852988,"Ps5E1"
"Mother","ezDDM v","First-Second",0.567447828832168,"Ps5E1"
"Mother","ezDDM v","Odd-Even",0.399450407889134,"Ps5E1"
"Mother","ezDDM z","First-Second",0.0484273503207938,"Ps5E1"
"Mother","ezDDM z","Odd-Even",0.0626710245195827,"Ps5E1"
"Mother","rwDDM v","First-Second",0.10008613740177,"Ps5E1"
"Mother","rwDDM v","Odd-Even",0.0339482567907679,"Ps5E1"
"Mother","rwDDM z","First-Second",0.31633475694059,"Ps5E1"
"Mother","rwDDM z","Odd-Even",-0.2035378403544,"Ps5E1"
"Stranger","RT","First-Second",0.763846078988253,"Ps5E1"
"Stranger","RT","Odd-Even",0.654764362484051,"Ps5E1"
"Stranger","ACC","First-Second",0.834031921950028,"Ps5E1"
"Stranger","ACC","Odd-Even",0.654222158019486,"Ps5E1"
"Stranger","d Prime","First-Second",0.505758162240995,"Ps5E1"
"Stranger","d Prime","Odd-Even",0.541635573210899,"Ps5E1"
"Stranger","Efficiency","First-Second",0.845268552899602,"Ps5E1"
"Stranger","Efficiency","Odd-Even",0.662628201525705,"Ps5E1"
"Stranger","ezDDM v","First-Second",0.769894940787064,"Ps5E1"
"Stranger","ezDDM v","Odd-Even",0.552680598483294,"Ps5E1"
"Stranger","ezDDM z","First-Second",0.158062983868455,"Ps5E1"
"Stranger","ezDDM z","Odd-Even",0.248012970789628,"Ps5E1"
"Stranger","rwDDM v","First-Second",0.594917758683353,"Ps5E1"
"Stranger","rwDDM v","Odd-Even",0.273538037125844,"Ps5E1"
"Stranger","rwDDM z","First-Second",0.396457642046423,"Ps5E1"
"Stranger","rwDDM z","Odd-Even",-0.0292622561771919,"Ps5E1"
