"Indice","Method","r","Target","Paper_ID"
"RT","First-Second",0.153691968340718,"Stranger","Ps1E1"
"RT","Odd-Even",0.052047409662039,"Stranger","Ps1E1"
"RT","Permuted",0.0148886673072118,"Stranger","Ps1E1"
"ACC","First-Second",0.168713634149987,"Stranger","Ps1E1"
"ACC","Odd-Even",0.170948717720646,"Stranger","Ps1E1"
"ACC","Permuted",0.254469526835613,"Stranger","Ps1E1"
"Dprime","First-Second",0.179717492418748,"Stranger","Ps1E1"
"Dprime","Odd-Even",0.301203141837707,"Stranger","Ps1E1"
"Dprime","Permuted",0.222823431497658,"Stranger","Ps1E1"
"Efficiency","First-Second",0.137612121931168,"Stranger","Ps1E1"
"Efficiency","Odd-Even",0.196444126891505,"Stranger","Ps1E1"
"Efficiency","Permuted",0.112851943001252,"Stranger","Ps1E1"
"ezDDM: v","First-Second",0.129548193693047,"Stranger","Ps1E1"
"ezDDM: v","Odd-Even",0.105000596519207,"Stranger","Ps1E1"
"ezDDM: v","Permuted",0.156789853327862,"Stranger","Ps1E1"
"ezDDM: z","First-Second",0.0933309535545709,"Stranger","Ps1E1"
"ezDDM: z","Odd-Even",0.175806508811948,"Stranger","Ps1E1"
"ezDDM: z","Permuted",0.174039082353217,"Stranger","Ps1E1"
