"Target","Indice","Method","r","Paper_ID"
"Friend","RT","First-Second",0.434034353110107,"Pn13E4"
"Friend","RT","Odd-Even",0.359418009775925,"Pn13E4"
"Friend","ACC","First-Second",0.576183950857942,"Pn13E4"
"Friend","ACC","Odd-Even",0.695212959418074,"Pn13E4"
"Friend","d Prime","First-Second",0.487818605889094,"Pn13E4"
"Friend","d Prime","Odd-Even",0.410254018514168,"Pn13E4"
"Friend","Efficiency","First-Second",0.715043440410707,"Pn13E4"
"Friend","Efficiency","Odd-Even",0.771170587330548,"Pn13E4"
"Friend","ezDDM v","First-Second",0.402340913971828,"Pn13E4"
"Friend","ezDDM v","Odd-Even",0.480526640625888,"Pn13E4"
"Friend","ezDDM z","First-Second",-0.0442598967511561,"Pn13E4"
"Friend","ezDDM z","Odd-Even",-0.0237769069352694,"Pn13E4"
"Friend","rwDDM v","First-Second",0.572643572252821,"Pn13E4"
"Friend","rwDDM v","Odd-Even",0.461163141465465,"Pn13E4"
"Friend","rwDDM z","First-Second",0.0649238345799309,"Pn13E4"
"Friend","rwDDM z","Odd-Even",0.0253976142728803,"Pn13E4"
"Stranger","RT","First-Second",0.556496225154679,"Pn13E4"
"Stranger","RT","Odd-Even",0.390532779118504,"Pn13E4"
"Stranger","ACC","First-Second",0.0335314171129104,"Pn13E4"
"Stranger","ACC","Odd-Even",0.564980755713003,"Pn13E4"
"Stranger","d Prime","First-Second",-0.131512316336785,"Pn13E4"
"Stranger","d Prime","Odd-Even",0.257483245630195,"Pn13E4"
"Stranger","Efficiency","First-Second",0.314289443903316,"Pn13E4"
"Stranger","Efficiency","Odd-Even",0.450229883662859,"Pn13E4"
"Stranger","ezDDM v","First-Second",0.00800747101204272,"Pn13E4"
"Stranger","ezDDM v","Odd-Even",0.637436218206804,"Pn13E4"
"Stranger","ezDDM z","First-Second",0.0171832642917312,"Pn13E4"
"Stranger","ezDDM z","Odd-Even",0.300150912043901,"Pn13E4"
"Stranger","rwDDM v","First-Second",-0.0736408807103525,"Pn13E4"
"Stranger","rwDDM v","Odd-Even",0.282520700677806,"Pn13E4"
"Stranger","rwDDM z","First-Second",-0.121051226385381,"Pn13E4"
"Stranger","rwDDM z","Odd-Even",-0.0166880084536113,"Pn13E4"
