"","Target","Indice","yi","vi","sei","zi","pval","ci.lb","ci.ub","yi_r","CI","Target_Indice","Order"
"1","NonPerson","d'",-0.179832282131622,0.0550803855028923,0.234692107883696,-0.766247675532148,"0.44",-0.64,0.28,-0.18,"-0.18(-0.64, 0.28)","NonPerson_d'",1
"2","NonPerson","z",0.0169029049964714,0.0587899214843844,0.242466330620118,0.0697123800786752,"0.94",-0.46,0.49,0.02,"0.02(-0.46, 0.49)","NonPerson_z",2
"3","Stranger","z",0.0762961148092343,0.00175102857190943,0.0418452933065288,1.82329023841088,"0.07",-0.01,0.16,0.08,"0.08(-0.01, 0.16)","Stranger_z",3
"4","NonPerson","v",0.0843414221107026,0.0579896265038909,0.240810353813724,0.350240015742612,"0.73",-0.39,0.56,0.08,"0.08(-0.39, 0.56)","NonPerson_v",4
"5","Close","z",0.113112129820102,0.00126107473541004,0.0355116140918719,3.18521511096258,"0.001",0.04,0.18,0.11,"0.11(0.04, 0.18)","Close_z",5
"6","Celebrity","ACC",0.13754967400265,0.0401049223943575,0.200262134200047,0.686848138077108,"0.49",-0.25,0.53,0.14,"0.14(-0.25, 0.53)","Celebrity_ACC",6
"7","Celebrity","z",0.146482246856516,0.0398977628186771,0.199744243518248,0.733349028119221,"0.46",-0.25,0.54,0.15,"0.15(-0.25, 0.54)","Celebrity_z",7
"8","Celebrity","RT",0.15485469283246,0.039692295310805,0.199229253150247,0.777268851756815,"0.44",-0.24,0.55,0.15,"0.15(-0.24, 0.55)","Celebrity_RT",8
"9","Celebrity","v",0.170352308656438,0.03928343070804,0.198200481099416,0.859494930140913,"0.39",-0.22,0.56,0.17,"0.17(-0.22, 0.56)","Celebrity_v",9
"10","NonPerson","RT",0.201083981364925,0.0541626726649776,0.232728753412589,0.864027235209897,"0.39",-0.26,0.66,0.2,"0.2(-0.26, 0.66)","NonPerson_RT",10
"11","Celebrity","d'",0.201677859827021,0.0383461021943194,0.195821608088381,1.02990605478021,"0.30",-0.18,0.59,0.2,"0.2(-0.18, 0.59)","Celebrity_d'",11
"12","Stranger","v",0.209147507697094,0.00156360039189108,0.0395423872811327,5.28919779704062,"<.001",0.13,0.29,0.21,"0.21(0.13, 0.29)","Stranger_v",12
"13","NonPerson","ACC",0.243024098247245,0.0520803966519425,0.228211298256555,1.06490826748655,"0.29",-0.2,0.69,0.24,"0.24(-0.2, 0.69)","NonPerson_ACC",13
"14","Stranger","d'",0.248109544152458,0.00148913360106777,0.0385892938658868,6.42949168789503,"<.001",0.17,0.32,0.25,"0.25(0.17, 0.32)","Stranger_d'",14
"15","NonPerson","η",0.283402638712381,0.0497539245980385,0.223055877748242,1.27054548650922,"0.20",-0.15,0.72,0.28,"0.28(-0.15, 0.72)","NonPerson_η",15
"16","Celebrity","η",0.301919321526164,0.0344166137937745,0.185517152289955,1.62744693846032,"0.10",-0.06,0.67,0.3,"0.3(-0.06, 0.67)","Celebrity_η",16
"17","Close","d'",0.369297548765804,0.000895962510795986,0.0299326328744397,12.3376232994578,"<.001",0.31,0.43,0.37,"0.37(0.31, 0.43)","Close_d'",17
"18","Stranger","ACC",0.46704019049199,0.00103004365260257,0.0320942931469533,14.5521257736853,"<.001",0.4,0.53,0.47,"0.47(0.4, 0.53)","Stranger_ACC",18
"19","Close","v",0.488010408878647,0.000711354489048122,0.0266712296126017,18.297259480233,"<.001",0.44,0.54,0.49,"0.49(0.44, 0.54)","Close_v",19
"20","Close","ACC",0.523537121580284,0.000643764437017163,0.0253725134154495,20.6340267914293,"<.001",0.47,0.57,0.52,"0.52(0.47, 0.57)","Close_ACC",20
"21","Close","η",0.570588036925348,0.000572557198284517,0.0239281674660747,23.845872766242,"<.001",0.52,0.62,0.57,"0.57(0.52, 0.62)","Close_η",21
"22","Close","RT",0.583939527693142,0.000554344155941606,0.0235445143492408,24.8015108331156,"<.001",0.54,0.63,0.58,"0.58(0.54, 0.63)","Close_RT",22
"23","Stranger","η",0.640936628810553,0.00062444398252912,0.0249888771762382,25.6488766698175,"<.001",0.59,0.69,0.64,"0.64(0.59, 0.69)","Stranger_η",23
"24","Stranger","RT",0.654165243715611,0.000591261533530272,0.0243158699932836,26.9028105470337,"<.001",0.61,0.7,0.65,"0.65(0.61, 0.7)","Stranger_RT",24
