DataFrame_ID,Paper_ID,Exp_ID,Self,Close,Celebrity,Stranger,NonPerson,Sample_Size,Trials,Drop,Remain,Author,Year,Study
1,P0E1,1,Self,Friend,,Stranger,,33,60,,33,Hu,2023,1
2,P6E1,1,Self,Partner,,Stranger,,46,20,,46,Constable and Knoblich,2020,1
3,P46E2,2,Self,,,Stranger,,56,48,drop 1,55,Constable,2021,2
!4,P51E1,1,Self,,Celebrity,Stranger,,24,24,,24,Qian,2020,1
5,P51E2,2,Self,,Celebrity,,,25,25,,25,Qian,2020,2
6,P54E1,1,Self,Mother/Acquaintance,,,none,32,18,drop 1,31,Sch?fer and Frings,2019,1
7,P54E3,3,Self,Mother/Acquaintance,,,,35,24,drop 1,34,Sch?fer and Frings,2019,3
8,Pn4E1,1,Self,Friend,,Stranger,,30,30,drop 1,29,Golubickis and Macrae,2021,1
9,Pn13E1,1,Self,Friend,,Stranger,,13,60,,13,Navon and Makovski,2021,1
10,Pn13E3,3,Self,Father,,Stranger,,28,60,,28,Navon and Makovski,2021,3
11,Pn13E4,4,Self,Friend,,Stranger,,27,60,,27,Navon and Makovski,2021,4
12,Pn16E1,1,Self,Friend,,,,20,50,,20,Svensson,2022,1
13,Pn16E2,2,Self,Friend,,,,24,100,,24,Svensson,2022,2
14,Pn16E3,3,Self,Friend,,,,25,100,,25,Svensson,2022,3
15,Pn23E1,1,Self,Friend,,Stranger,,105,60,,105,Xu,2021,1
16,P95E1,1,Self,Friend,,Stranger,,18,56,,18,Wo?niak,2018,1
17,P95E2,2,Self,Friend,,Stranger,,18,60,,18,Wo?niak,2018,2
18,Ps1E1,1,Self,,,Stranger,,298,16,drop 24,274,Liu,2023,1
