Type,Indice,ICC,LLCI,ULCI,Target,Paper_ID
ICC2,RT,0.534713245,0.388520669,0.689187045,Friend,P0E1
ICC2,ACC,0.25966963,0.128792567,0.435835877,Friend,P0E1
ICC2,d Prime,0.097938269,0.000267574,0.250196386,Friend,P0E1
ICC2,Efficiency,0.525203586,0.378247821,0.68161813,Friend,P0E1
ICC2,ezDDM v,0.165428664,0.052043657,0.331605439,Friend,P0E1
ICC2,ezDDM z,0.092406062,-0.001757405,0.240773987,Friend,P0E1
ICC2,rwDDM v,0.052902343,-0.030689619,0.189541674,Friend,P0E1
ICC2,rwDDM z,0.093103101,-0.002530576,0.243176226,Friend,P0E1
ICC2k,RT,0.873341945,0.79219784,0.930090535,Friend,P0E1
ICC2k,ACC,0.67788589,0.470056491,0.822544105,Friend,P0E1
ICC2k,d Prime,0.394464004,0.0016033,0.666899319,Friend,P0E1
ICC2k,Efficiency,0.869058448,0.784953041,0.927773294,Friend,P0E1
ICC2k,ezDDM v,0.54323707,0.24778401,0.748537351,Friend,P0E1
ICC2k,ezDDM z,0.379223582,-0.010637906,0.655503257,Friend,P0E1
ICC2k,rwDDM v,0.251017094,-0.217514976,0.583891337,Friend,P0E1
ICC2k,rwDDM z,0.381175501,-0.015378035,0.658454705,Friend,P0E1
