Type,Indice,ICC,LLCI,ULCI,Target,Paper_ID
ICC2,RT,0.715674837,0.41643535,0.876136499,Stranger,Ps2E1
ICC2,ACC,0.116617602,-0.35289349,0.529315,Stranger,Ps2E1
ICC2,d Prime,0.585383731,0.194547965,0.81373391,Stranger,Ps2E1
ICC2,Efficiency,0.452340216,0.034373474,0.738437545,Stranger,Ps2E1
ICC2,ezDDM v,0.036765196,-0.425696894,0.470612049,Stranger,Ps2E1
ICC2,ezDDM z,0.271016575,-0.203754805,0.634862844,Stranger,Ps2E1
ICC2,rwDDM v,-0.300079002,-0.693036554,0.180482051,Stranger,Ps2E1
ICC2,rwDDM z,0.093945509,-0.382353875,0.515610146,Stranger,Ps2E1
ICC2k,RT,0.834277943,0.58800474,0.933979483,Stranger,Ps2E1
ICC2k,ACC,0.208876524,-1.090681316,0.69222495,Stranger,Ps2E1
ICC2k,d Prime,0.738475764,0.325726502,0.897302416,Stranger,Ps2E1
ICC2k,Efficiency,0.622912196,0.066462404,0.849541644,Stranger,Ps2E1
ICC2k,ezDDM v,0.070922898,-1.482481603,0.640022023,Stranger,Ps2E1
ICC2k,ezDDM z,0.426456398,-0.511789098,0.776655787,Stranger,Ps2E1
ICC2k,rwDDM v,-0.857465351,-4.515433765,0.305776866,Stranger,Ps2E1
ICC2k,rwDDM z,0.171755372,-1.238100135,0.680399438,Stranger,Ps2E1
