cov,Target,Indice,ICC,LLCI,ULCI
1,Friend,RT,0.543942682,0.468315117,0.821137114
1,Friend,ACC,0.269098771,0.086960832,0.60724254
1,Friend,d Prime,0.107102303,0.066633111,0.488035317
1,Friend,Efficiency,0.535136184,0.413680555,0.785412691
1,Friend,ezDDM v,0.172996494,0.092642788,0.562754133
1,Friend,ezDDM z,0.110804786,0.012542679,0.510205212
1,Friend,rwDDM v,0.068052517,0.036214398,0.534775144
1,Friend,rwDDM z,0.105731765,0.077506355,0.652405857
