"type","ICC_type","ICC","LLCI","ULCI","Target"
"ICC2","RT",0.585066001457085,0.443429536134281,0.728572249001223,"Stranger"
"ICC2","ACC",0.0776562591022058,-0.0109429698313234,0.219816921499124,"Stranger"
"ICC2","Dprime",0.176663429249097,0.0610488715181874,0.344450368687772,"Stranger"
"ICC2","Efficiency",0.346355519750592,0.207374112659213,0.520726871623314,"Stranger"
"ICC2","ezDDM: v",0.171105982091569,0.0604819757050966,0.334106161888282,"Stranger"
"ICC2","ezDDM: z",-0.0261190242880536,-0.089453744831103,0.0844810887078082,"Stranger"
"ICC2k","RT",0.894293219226716,0.826998783049473,0.94153868989931,"Stranger"
"ICC2k","ACC",0.335621862888906,-0.069458214729556,0.628322233551272,"Stranger"
"ICC2k","Dprime",0.562826381954693,0.280631919210273,0.759188470055691,"Stranger"
"ICC2k","Efficiency",0.760725587416855,0.610860944419482,0.867002841923403,"Stranger"
"ICC2k","ezDDM: v",0.553284475105063,0.278631067081145,0.75065113057018,"Stranger"
"ICC2k","ezDDM: z",-0.180254504653731,-0.971036907883658,0.356358684191816,"Stranger"
