"Indice","ICC.a","ICC.c","Target","Paper_ID"
"RT",0.535317460854958,0.535317460854958,"Friend","P0E1"
"ACC",0.261363116523761,0.261363116523761,"Friend","P0E1"
"d",0.0999644993465759,0.0999644993465759,"Friend","P0E1"
"η",0.526072881702845,0.526072881702845,"Friend","P0E1"
"v.hausekeep.",0.16732033057305,0.16732033057305,"Friend","P0E1"
"z.hausekeep.",0.0924053930733717,0.0937139813316836,"Friend","P0E1"
"v.RWiener.",0.0570772051173757,0.0579418534218897,"Friend","P0E1"
"z.RWiener.",0.168983438255176,0.171492313331233,"Friend","P0E1"
