Indice,r,LLCI,ULCI,Target,Paper_ID
RT,0.608532401,0.566559156,0.688940785,Friend,P0E1
ACC,0.289795317,0.223277748,0.348578323,Friend,P0E1
Dprime,0.244575167,0.197940922,0.300369897,Friend,P0E1
Efficiency,0.274702455,0.196088491,0.328300238,Friend,P0E1
ezDDM: v,0.262986175,0.208228663,0.335631775,Friend,P0E1
ezDDM: z,0.289795317,0.223277748,0.348578323,Friend,P0E1
RT,0.656907832,0.623102879,0.692093932,Stranger,P0E1
ACC,0.424414892,0.355278582,0.471347691,Stranger,P0E1
Dprime,0.245515906,0.18010728,0.337542643,Stranger,P0E1
Efficiency,0.276047698,0.241155007,0.314445044,Stranger,P0E1
ezDDM: v,0.38696592,0.31533408,0.434831477,Stranger,P0E1
ezDDM: z,0.424414892,0.355278582,0.471347691,Stranger,P0E1
RT,0.341975488,0.247537224,0.450194976,Partner,P6E1
ACC,0.230871659,0.145600063,0.321184688,Partner,P6E1
Dprime,0.146935903,0.049582278,0.268749708,Partner,P6E1
Efficiency,0.084822365,-0.036250156,0.160209592,Partner,P6E1
ezDDM: v,0.188900524,0.09556833,0.277031849,Partner,P6E1
ezDDM: z,0.230871659,0.145600063,0.321184688,Partner,P6E1
RT,0.314789043,0.230940167,0.424226272,Stranger,P6E1
ACC,0.437877639,0.337858757,0.505163684,Stranger,P6E1
Dprime,0.286493484,0.197371925,0.367119318,Stranger,P6E1
Efficiency,0.152416744,0.080844997,0.219356556,Stranger,P6E1
ezDDM: v,0.25761076,0.085426187,0.375360321,Stranger,P6E1
ezDDM: z,0.427890693,0.295260139,0.505163684,Stranger,P6E1
RT,0.561114582,0.511189365,0.623882583,Stranger,P46E1
ACC,0.416695444,0.31384364,0.500958567,Stranger,P46E1
Dprime,0.217550604,0.133168972,0.373147308,Stranger,P46E1
Efficiency,0.052834185,-0.006536154,0.117191131,Stranger,P46E1
ezDDM: v,0.332123599,0.240847711,0.444159172,Stranger,P46E1
ezDDM: z,0.416695444,0.31384364,0.500958567,Stranger,P46E1
RT,0.505753802,0.424051855,0.608975053,Celebrity,P51E1
ACC,0.318491605,0.237384878,0.420730856,Celebrity,P51E1
Dprime,0.162936396,0.058693612,0.262497485,Celebrity,P51E1
Efficiency,0.078526802,-0.020486502,0.11982401,Celebrity,P51E1
ezDDM: v,0.393646987,0.324571715,0.467213269,Celebrity,P51E1
ezDDM: z,0.318491605,0.237384878,0.420730856,Celebrity,P51E1
RT,0.500477291,0.421047063,0.584594594,Stranger,P51E1
ACC,0.350434814,0.279058213,0.437047366,Stranger,P51E1
Dprime,0.155296053,0.106722802,0.197625921,Stranger,P51E1
Efficiency,0.115555533,0.068601002,0.153232511,Stranger,P51E1
ezDDM: v,0.400076606,0.318094081,0.463451344,Stranger,P51E1
ezDDM: z,0.350434814,0.279058213,0.437047366,Stranger,P51E1
RT,0.506508135,0.330538698,0.646539358,Celebrity,P51E2
ACC,0.133016502,-0.151109288,0.533685311,Celebrity,P51E2
Dprime,0.262798538,-0.016785885,0.453725295,Celebrity,P51E2
Efficiency,0.11504412,0.033009947,0.15622526,Celebrity,P51E2
ezDDM: v,0.061640888,-0.227969772,0.36398653,Celebrity,P51E2
ezDDM: z,0.133016502,-0.151109288,0.533685311,Celebrity,P51E2
RT,0.16857392,-0.196927618,0.536909694,Acquaintance,P54E1
ACC,0.131143963,-0.061248032,0.386508201,Acquaintance,P54E1
Dprime,-0.066666714,-0.403592453,0.269538576,Acquaintance,P54E1
Efficiency,0.005468179,-0.223413783,0.190757184,Acquaintance,P54E1
ezDDM: v,0.082346377,-0.033290776,0.27542623,Acquaintance,P54E1
ezDDM: z,0.124647548,-0.061248032,0.336160985,Acquaintance,P54E1
RT,0.422153606,-0.064676518,0.669003107,Mother,P54E1
ACC,0.177158822,-0.175413572,0.384282526,Mother,P54E1
Dprime,0.104755902,-0.031552343,0.246046561,Mother,P54E1
Efficiency,-0.087056127,-0.277669385,0.138845127,Mother,P54E1
