"","Target","Indice","xend_5","xend_7","xend_8"
"1","Close","ACC",55.6511125497523,129.852595949422,222.60445019901
"2","Close","RT",42.3538431416466,98.8256339971753,169.415372566586
"3","Close","η",39.6703584594987,92.5641697388303,158.681433837995
"4","Stranger","ACC",46.2836712678486,107.995232958313,185.134685071395
"5","Stranger","RT",43.9465278735393,102.541898371592,175.786111494157
"6","Stranger","η",36.6017933803617,85.4041845541774,146.407173521447
