"","Target","Indice","xend_5","xend_7","xend_8"
"1","Close","d'",100.031801290315,233.407536344067,NA
"2","Close","v",127.653585350748,297.858365818412,NA
"3","Close","z",NA,NA,NA
"4","Stranger","d'",86.9909613933008,202.978909917702,NA
"5","Stranger","v",139.844934148452,NA,NA
"6","Stranger","z",NA,NA,NA
