Indice,Method,r,Target,Paper_ID
Efficiency,Permuted,0.11331,none,P54E1
ezDDM: v,First-Second,0.14599,none,P54E1
ezDDM: v,Odd-Even,0.33492,none,P54E1
ezDDM: v,Permuted,0.25756,none,P54E1
ezDDM: z,First-Second,-0.00257,none,P54E1
ezDDM: z,Odd-Even,0.08559,none,P54E1
ezDDM: z,Permuted,-0.06109,none,P54E1
RT,First-Second,0.0949,Acquaintance,P54E3
RT,Odd-Even,0.20126,Acquaintance,P54E3
RT,Permuted,0.33831,Acquaintance,P54E3
ACC,First-Second,0.1532,Acquaintance,P54E3
ACC,Odd-Even,0.23068,Acquaintance,P54E3
ACC,Permuted,0.12398,Acquaintance,P54E3
Dprime,First-Second,0.22282,Acquaintance,P54E3
Dprime,Odd-Even,0.1871,Acquaintance,P54E3
Dprime,Permuted,0.12913,Acquaintance,P54E3
Efficiency,First-Second,0.25276,Acquaintance,P54E3
Efficiency,Odd-Even,0.42044,Acquaintance,P54E3
Efficiency,Permuted,0.31439,Acquaintance,P54E3
ezDDM: v,First-Second,-0.22256,Acquaintance,P54E3
ezDDM: v,Odd-Even,-0.1638,Acquaintance,P54E3
ezDDM: v,Permuted,-0.13361,Acquaintance,P54E3
ezDDM: z,First-Second,0.03717,Acquaintance,P54E3
ezDDM: z,Odd-Even,0.10838,Acquaintance,P54E3
ezDDM: z,Permuted,0.11536,Acquaintance,P54E3
RT,First-Second,-0.23357,Mother,P54E3
RT,Odd-Even,0.1031,Mother,P54E3
RT,Permuted,-0.21311,Mother,P54E3
ACC,First-Second,0.05374,Mother,P54E3
ACC,Odd-Even,-0.01582,Mother,P54E3
ACC,Permuted,0.16874,Mother,P54E3
Dprime,First-Second,0.3601,Mother,P54E3
Dprime,Odd-Even,0.35765,Mother,P54E3
Dprime,Permuted,0.22044,Mother,P54E3
Efficiency,First-Second,0.08173,Mother,P54E3
Efficiency,Odd-Even,0.01624,Mother,P54E3
Efficiency,Permuted,0.03532,Mother,P54E3
ezDDM: v,First-Second,-0.20083,Mother,P54E3
ezDDM: v,Odd-Even,-0.38895,Mother,P54E3
ezDDM: v,Permuted,0.0248,Mother,P54E3
ezDDM: z,First-Second,-0.30878,Mother,P54E3
ezDDM: z,Odd-Even,0.01145,Mother,P54E3
ezDDM: z,Permuted,-0.49056,Mother,P54E3
RT,First-Second,0.14858,Friend,P95E1
RT,Odd-Even,0.27104,Friend,P95E1
RT,Permuted,0.39751,Friend,P95E1
ACC,First-Second,-0.16765,Friend,P95E1
ACC,Odd-Even,0.20874,Friend,P95E1
ACC,Permuted,0.12014,Friend,P95E1
Dprime,First-Second,-0.01375,Friend,P95E1
