"","Target","Indice","Paper_ID","yi","Sample_Size","Trials","Author","Year","Exp"
"73","Close","d","Pn13E3",0.0106058682035463,28,60,"Navon & Makovski",2021,3
"74","Close","d","Pn13E4",0.196730522051924,27,60,"Navon & Makovski",2021,4
"75","Close","d","Pn16E1",0.637914000712104,20,50,"Svensson et al.",2022,1
"76","Close","d","Pn16E2",0.674915245334358,24,100,"Svensson et al.",2022,2
"77","Close","d","Pn16E3",0.662389219742921,24,100,"Svensson et al.",2022,3
"78","Close","d","Pn23E1",0.818498957964668,105,60,"Xu et al.",2021,1
"79","Close","d","P95E1",0.250771986547605,18,56,"Woźniak et al.",2018,1
"80","Close","d","P95E2",0.149633245345402,18,60,"Woźniak et al.",2018,2
"81","Close","d","Ps3E1",0.625187538312859,24,40,"Sui (unpublished)",2014,1
"82","Close","d","Ps4E1",0.511430823479828,20,40,"Sui (unpublished)",2015,1
"83","Close","d","Ps4E2",-0.0462865518838169,21,40,"Sui (unpublished)",2015,2
"84","Close","d","Ps5E1",0.142503320004148,24,60,"Sui et al.",2014,1
"85","Close","d","Ps5E2",0.067508842999478,18,60,"Sui et al.",2014,2
"86","Close","d","Ps5E3",1.83469733132263,22,60,"Sui et al.",2014,3
"87","Close","d","Ps5E4",1.10780898729068,20,60,"Sui et al.",2014,4
"88","Close","d","Pt2E1",0.525512566641014,142,20,"Hobbs et al.",2023,1
"89","Close","d","Pt3E1",0.551448265573486,108,60,"Liang et al.",2021,1
"90","Close","d","Pt9E1",0.095743296354453,18,60,"Woźniak & Knoblich",2022,1
"91","Close","d","Pt9E2",0.127794055764702,18,60,"Woźniak & Knoblich",2022,2
"92","Close","d","Pt9E3",-0.0560914182714868,18,60,"Woźniak & Knoblich",2022,3
"93","Close","d","Pt18E1",0.582520872531788,20,160,"Sui et al.",2023,1
"94","Close","d","P19E1",1.0191202439128,17,60,"Bukowski et al.",2021,1
"95","Close","d","P19E2",0.716445981748564,34,60,"Bukowski et al.",2021,2
"96","Close","d","P34E1",-0.275688825538296,29,12,"Kolvoort et al.",2020,1
"97","Close","d","Pt27E1",0.842902420482178,32,40,"Martínez-Pérez et al.",2024,2
"98","Close","d","Pt13E1",0.278138449158348,46,20,"Feldborg et al.",2021,1
"99","Close","d","Pt28E1",1.03887169396391,30,60,"Amodeo et al.",2024,1
