"","Target","Indice","Paper_ID","yi","Sample_Size","Trials","Author","Year","Exp"
"1","Stranger","RT","P0E1",-0.424387690069703,33,60,"Hu et al.",2023,1
"2","Stranger","RT","P6E1",-1.38569416525989,46,20,"Constable & Knoblich",2020,1
"3","Stranger","RT","P46E2",-0.723584213734347,55,48,"Constable et al.",2021,2
"4","Stranger","RT","P54E1",-0.0955621685614619,31,18,"Schäfer & Frings",2019,1
"5","Stranger","RT","P54E3",-0.199227755371891,33,24,"Schäfer & Frings",2019,3
"6","Stranger","RT","Pn4E1",-0.663305482986,29,30,"Golubickis & Macrae",2021,1
"7","Stranger","RT","Pn13E1",-1.4018194716656,13,60,"Navon & Makovski",2021,1
"8","Stranger","RT","Pn13E3",-0.506287464363052,28,60,"Navon & Makovski",2021,3
"9","Stranger","RT","Pn13E4",-0.439382903187671,27,60,"Navon & Makovski",2021,4
"10","Stranger","RT","Pn23E1",-0.557348387246094,105,60,"Xu et al.",2021,1
"11","Stranger","RT","P95E1",-0.605495583220888,18,56,"Woźniak et al.",2018,1
"12","Stranger","RT","P95E2",-0.642055895270049,18,60,"Woźniak et al.",2018,2
"13","Stranger","RT","Ps1E1",-0.261449095546357,280,16,"Liu et al.",2023,1
"14","Stranger","RT","Ps3E1",-1.25895365563445,24,40,"Sui (unpublished)",2014,1
"15","Stranger","RT","Ps4E1",-0.776203292170859,20,40,"Sui (unpublished)",2015,1
"16","Stranger","RT","Ps4E2",0.307276107377635,21,40,"Sui (unpublished)",2015,2
"17","Stranger","RT","Ps5E1",-1.0685529894103,24,60,"Sui et al.",2014,1
"18","Stranger","RT","Ps5E2",-0.87807117490829,18,60,"Sui et al.",2014,2
"19","Stranger","RT","Ps5E3",-2.04093240205236,22,60,"Sui et al.",2014,3
"20","Stranger","RT","Ps5E4",-1.94052367185974,20,60,"Sui et al.",2014,4
"21","Stranger","RT","Pt1E1",-1.16332295160803,40,60,"Haciahmet et al.",2023,1
"22","Stranger","RT","Pt2E1",-1.23502625407194,142,20,"Hobbs et al.",2023,1
"23","Stranger","RT","Pt3E1",-0.961780987547697,108,60,"Liang et al.",2021,1
