,Indice,g,SE,LLCI,ULCI,Q,p,I2
1,RT,-0.938839033,0.09883747,-1.132556915,-0.745121152,391.2196551,2.12E-21,92.84700225
2,ACC,1.418409341,0.213119058,1.000703662,1.83611502,667.5346838,2.82E-11,97.60011431
3,d,0.660225093,0.089297511,0.485205186,0.835244999,381.7065092,1.43E-13,93.09428829
4,eta,-1.691791107,0.233150508,-2.148757706,-1.234824509,702.0060497,3.98E-13,97.88914864
5,ezDDM v,1.04575595,0.123644548,0.803417089,1.288094811,580.1209733,2.73E-17,95.35659352
6,ezDDM z,0.409169895,0.07412521,0.263887154,0.554452637,422.7713776,3.39E-08,91.71394685
7,rwDDM v,0.704767566,0.092065627,0.524322252,0.88521288,400.5021305,1.93E-14,93.85879948
8,rwDDM z,0.051106219,0.094680586,-0.13446432,0.236676757,531.7504424,0.589352171,95.61879305
