,Indice,yi,vi,sei,zi,pval,ci.lb,ci.ub
1,RT,-1.76,.11,.33,-5.28,.00,-2.41,-1.11
2,ACC,2.08,.12,.35,5.93,.00,1.39,2.77
3,d',1.41,.10,.32,4.45,.00,.79,2.03
4,eta,-2.70,.15,.39,-6.90,.00,-3.46,-1.93
5,ezDDM v,2.24,.13,.36,6.21,.00,1.54,2.95
6,ezDDM z,1.10,.09,.30,3.64,.00,.51,1.70
7,rwDDM v,1.45,.10,.32,4.57,.00,.83,2.08
8,rwDDM z,.05,.08,.28,.19,.85,-.50,.61
