,Indice,yi,vi,sei,zi,pval,ci.lb,ci.ub
1,RT,-.13,.06,.25,-.51,.61,-.62,.36
2,ACC,.02,.06,.25,.07,.95,-.47,.51
3,d',.17,.06,.25,.68,.50,-.32,.66
4,??,-.09,.06,.25,-.36,.72,-.58,.40
5,ezDDM v,.05,.06,.25,.18,.86,-.44,.54
6,ezDDM z,-.09,.06,.25,-.37,.71,-.58,.40
7,rwDDM v,.33,.06,.25,1.32,.19,-.16,.83
8,rwDDM z,-.45,.06,.25,-1.79,.07,-.95,.04
