"","Indice","g","SE","LLCI","ULCI","Q","p","I2"
"1","RT",-0.610300428142748,0.0811045220199667,-0.769262370285219,-0.451338486000278,363.241277463275,5.27755759210419e-14,92.8600513513668
"2","ACC",0.725916229050689,0.124459863852454,0.481979378379121,0.969853079722257,457.561667468881,5.45922929202031e-09,95.9823857795835
"3","d",0.479952744909676,0.069653821363697,0.343433763651243,0.616471726168109,297.835296300058,5.55792971925837e-12,91.0565866795847
"4","eta",-0.9298211091642,0.136946302659708,-1.19823093019315,-0.661411288135251,556.014402470848,1.12385169959964e-11,96.5092530426117
"5","ezDDM v",0.645733565576589,0.0846929134181876,0.479738505531172,0.811728625622005,437.615661202347,2.45151471973195e-14,93.2871433532865
"6","ezDDM z",0.130452130598345,0.0620161706388172,0.00890266968717286,0.252001591509517,280.688682317139,0.0354205144043331,90.7993977257699
"7","rwDDM v",0.492429011691233,0.0654127418680764,0.364222393499788,0.620635629882678,315.532612404513,5.1511989600839e-14,90.2789074251856
"8","rwDDM z",-0.0580921940068232,0.0691505350546299,-0.193624752225572,0.0774403642119259,368.548044389626,0.400861809992977,92.7044083968303
